SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.952476,1.0,6,31,6
0.949814,1.0,7,31,7
0.86138,1.0,8,31,8
0.859374,1.0,9,31,9
0.857299,1.0,10,31,10
0.854162,1.0,11,31,11
0.798,1.0,12,31,12
0.788567,0.9230769230769231,13,31,12
0.787311,0.9285714285714286,14,31,13
0.783452,0.9333333333333333,15,31,14
0.78176,0.9375,16,31,15
0.733337,0.9411764705882353,17,31,16
0.730988,0.9444444444444444,18,31,17
0.702516,0.9473684210526315,19,31,18
0.669801,0.95,20,31,19
0.596697,0.9523809523809523,21,31,20
0.0,0.9523809523809523,21,31,20
