SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.88159,1.0,1,45,1
0.87585,1.0,2,45,2
0.84747,1.0,3,45,3
0.839464,1.0,4,45,4
0.818537,1.0,5,45,5
0.776211,1.0,6,45,6
0.77327,1.0,7,45,7
0.773248,1.0,8,45,8
0.771621,1.0,9,45,9
0.770075,0.9,10,45,9
0.766124,0.9090909090909091,11,45,10
0.765148,0.9166666666666666,12,45,11
0.750428,0.9230769230769231,13,45,12
0.743161,0.9285714285714286,14,45,13
0.74199,0.9333333333333333,15,45,14
0.737475,0.9375,16,45,15
0.737219,0.9411764705882353,17,45,16
0.737086,0.9444444444444444,18,45,17
0.734741,0.9473684210526315,19,45,18
0.732006,0.95,20,45,19
0.731082,0.9523809523809523,21,45,20
0.731045,0.9545454545454546,22,45,21
0.724785,0.9565217391304348,23,45,22
0.702834,0.9583333333333334,24,45,23
0.691826,0.96,25,45,24
0.689007,0.9615384615384616,26,45,25
0.684217,0.9629629629629629,27,45,26
0.684093,0.9642857142857143,28,45,27
0.679064,0.9655172413793104,29,45,28
0.676531,0.9666666666666667,30,45,29
0.638562,0.9354838709677419,31,45,29
0.637408,0.9375,32,45,30
0.632603,0.9393939393939394,33,45,31
0.59598,0.9411764705882353,34,45,32
0.570658,0.9428571428571428,35,45,33
0.547581,0.9166666666666666,36,45,33
0.541802,0.918918918918919,37,45,34
0.54054,0.8947368421052632,38,45,34
0.512949,0.8974358974358975,39,45,35
0.0,0.8974358974358975,39,45,35
