SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.946054,1.0,1,44,1
0.942306,0.5,2,44,1
0.899783,0.6666666666666666,3,44,2
0.898757,0.75,4,44,3
0.872162,0.8,5,44,4
0.85251,0.8333333333333334,6,44,5
0.850676,0.8571428571428571,7,44,6
0.841436,0.875,8,44,7
0.836558,0.8888888888888888,9,44,8
0.834955,0.9,10,44,9
0.831145,0.9090909090909091,11,44,10
0.826423,0.9166666666666666,12,44,11
0.806685,0.9230769230769231,13,44,12
0.784481,0.9285714285714286,14,44,13
0.777279,0.9333333333333333,15,44,14
0.764183,0.9375,16,44,15
0.753606,0.9411764705882353,17,44,16
0.749397,0.9444444444444444,18,44,17
0.740832,0.8947368421052632,19,44,17
0.735602,0.9,20,44,18
0.733277,0.9047619047619048,21,44,19
0.730225,0.9090909090909091,22,44,20
0.716751,0.9130434782608695,23,44,21
0.707736,0.9166666666666666,24,44,22
0.69643,0.92,25,44,23
0.688958,0.9230769230769231,26,44,24
0.664065,0.9259259259259259,27,44,25
0.643297,0.9285714285714286,28,44,26
0.621445,0.9310344827586207,29,44,27
0.618865,0.9333333333333333,30,44,28
0.61698,0.9354838709677419,31,44,29
0.598947,0.9375,32,44,30
0.582181,0.9393939393939394,33,44,31
0.555209,0.9411764705882353,34,44,32
0.464315,0.9428571428571428,35,44,33
0.0,0.9428571428571428,35,44,33
