SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.925894,1.0,6,125,6
0.925615,1.0,7,125,7
0.923671,1.0,8,125,8
0.91759,1.0,9,125,9
0.912343,1.0,10,125,10
0.911267,1.0,11,125,11
0.910963,1.0,12,125,12
0.908877,1.0,44,125,44
0.908541,1.0,47,125,47
0.907768,1.0,48,125,48
0.904774,1.0,49,125,49
0.899921,1.0,50,125,50
0.895344,1.0,52,125,52
0.894758,1.0,53,125,53
0.891286,1.0,57,125,57
0.890902,1.0,58,125,58
0.890893,1.0,59,125,59
0.888853,1.0,60,125,60
0.880049,1.0,61,125,61
0.872773,1.0,62,125,62
0.872739,1.0,63,125,63
0.863374,1.0,65,125,65
0.858273,1.0,66,125,66
0.857168,1.0,67,125,67
0.857135,1.0,68,125,68
0.854617,1.0,69,125,69
0.852798,1.0,70,125,70
0.847826,1.0,71,125,71
0.845964,1.0,72,125,72
0.842636,1.0,74,125,74
0.842289,1.0,75,125,75
0.819897,1.0,76,125,76
0.81387,1.0,77,125,77
0.806974,1.0,78,125,78
0.798965,1.0,79,125,79
0.791233,1.0,80,125,80
0.781829,1.0,81,125,81
0.779714,1.0,82,125,82
0.778364,1.0,83,125,83
0.773868,1.0,85,125,85
0.771548,1.0,86,125,86
0.764682,1.0,87,125,87
0.762493,1.0,89,125,89
0.74911,1.0,90,125,90
0.74589,1.0,92,125,92
0.743305,1.0,93,125,93
0.741585,1.0,94,125,94
0.739336,1.0,95,125,95
0.733779,1.0,99,125,99
0.72696,1.0,100,125,100
0.716761,1.0,101,125,101
0.715498,1.0,102,125,102
0.704643,1.0,103,125,103
0.702695,1.0,105,125,105
0.672353,1.0,107,125,107
0.611281,1.0,108,125,108
0.61028,0.9818181818181818,110,125,108
0.596557,0.972972972972973,111,125,108
0.566779,0.9642857142857143,112,125,108
0.566514,0.9557522123893806,113,125,108
0.557896,0.9473684210526315,114,125,108
0.545994,0.9478260869565217,115,125,109
0.524449,0.9396551724137931,116,125,109
0.517637,0.9316239316239316,117,125,109
0.514977,0.9322033898305084,118,125,110
0.496586,0.9243697478991597,119,125,110
0.489736,0.925,120,125,111
0.459397,0.9173553719008265,121,125,111
0.441937,0.9098360655737705,122,125,111
0.390091,0.9105691056910569,123,125,112
0.0,0.9105691056910569,123,125,112
