SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.859521,1.0,1,130,1
0.854939,1.0,2,130,2
0.854221,1.0,3,130,3
0.854128,1.0,4,130,4
0.85295,1.0,5,130,5
0.852903,1.0,6,130,6
0.852543,1.0,7,130,7
0.852066,1.0,8,130,8
0.851115,1.0,9,130,9
0.850309,1.0,10,130,10
0.847125,1.0,11,130,11
0.847042,1.0,12,130,12
0.844473,1.0,13,130,13
0.841799,1.0,14,130,14
0.841221,1.0,15,130,15
0.840834,1.0,16,130,16
0.840409,1.0,17,130,17
0.838811,1.0,18,130,18
0.838172,1.0,19,130,19
0.837485,1.0,20,130,20
0.836274,1.0,21,130,21
0.834313,1.0,22,130,22
0.834061,1.0,23,130,23
0.832784,1.0,24,130,24
0.832774,1.0,25,130,25
0.832282,1.0,26,130,26
0.830294,1.0,27,130,27
0.82585,1.0,28,130,28
0.825693,1.0,29,130,29
0.825459,1.0,30,130,30
0.822887,1.0,31,130,31
0.821506,1.0,32,130,32
0.820743,1.0,33,130,33
0.816912,1.0,34,130,34
0.816264,1.0,35,130,35
0.81567,1.0,36,130,36
0.81555,1.0,37,130,37
0.814271,1.0,38,130,38
0.813521,1.0,39,130,39
0.810369,1.0,40,130,40
0.807912,1.0,41,130,41
0.807508,1.0,42,130,42
0.805451,1.0,43,130,43
0.804623,1.0,44,130,44
0.804552,1.0,45,130,45
0.804532,1.0,46,130,46
0.802309,1.0,47,130,47
0.80211,1.0,48,130,48
0.801438,1.0,49,130,49
0.801397,1.0,50,130,50
0.793677,1.0,51,130,51
0.793317,1.0,52,130,52
0.793066,1.0,53,130,53
0.791421,1.0,54,130,54
0.790113,1.0,55,130,55
0.788674,1.0,56,130,56
0.785222,1.0,57,130,57
0.772323,1.0,58,130,58
0.770972,1.0,59,130,59
0.769376,1.0,60,130,60
0.762392,1.0,61,130,61
0.760287,1.0,62,130,62
0.758926,1.0,63,130,63
0.757689,1.0,64,130,64
0.752399,1.0,65,130,65
0.752339,1.0,66,130,66
0.752138,1.0,67,130,67
0.746332,1.0,68,130,68
0.7416,1.0,69,130,69
0.735599,1.0,71,130,71
0.734349,1.0,72,130,72
0.730202,1.0,73,130,73
0.726409,1.0,75,130,75
0.725866,1.0,76,130,76
0.725341,1.0,78,130,78
0.720018,1.0,79,130,79
0.711112,1.0,80,130,80
0.707086,1.0,82,130,82
0.696994,1.0,83,130,83
0.696149,1.0,84,130,84
0.695882,1.0,86,130,86
0.684281,1.0,87,130,87
0.683706,1.0,88,130,88
0.681749,1.0,89,130,89
0.679741,1.0,90,130,90
0.675091,0.989010989010989,91,130,90
0.67477,0.9891304347826086,92,130,91
0.66957,0.989247311827957,93,130,92
0.665049,0.9787234042553191,94,130,92
0.656624,0.9789473684210527,95,130,93
0.604364,0.9791666666666666,96,130,94
0.597764,0.979381443298969,97,130,95
0.594844,0.9693877551020408,98,130,95
0.594346,0.9595959595959596,99,130,95
0.57806,0.96,100,130,96
0.558889,0.9603960396039604,101,130,97
0.55504,0.9607843137254902,102,130,98
0.549096,0.9611650485436893,103,130,99
0.540759,0.9615384615384616,104,130,100
0.534164,0.9619047619047619,105,130,101
0.527374,0.9622641509433962,106,130,102
0.52467,0.9626168224299065,107,130,103
0.500894,0.9629629629629629,108,130,104
0.485248,0.9541284403669725,109,130,104
0.0,0.9541284403669725,109,130,104
