SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.984068,1.0,1,122,1
0.970721,1.0,2,122,2
0.965147,1.0,3,122,3
0.956625,1.0,4,122,4
0.934049,1.0,6,122,6
0.932827,1.0,7,122,7
0.931164,1.0,8,122,8
0.922981,1.0,11,122,11
0.916253,1.0,12,122,12
0.908772,1.0,13,122,13
0.905188,1.0,14,122,14
0.904133,1.0,15,122,15
0.901921,1.0,16,122,16
0.901692,1.0,17,122,17
0.896619,1.0,18,122,18
0.894121,1.0,19,122,19
0.892835,1.0,20,122,20
0.892317,1.0,21,122,21
0.891438,1.0,22,122,22
0.888517,1.0,23,122,23
0.886411,1.0,24,122,24
0.884319,1.0,25,122,25
0.883885,1.0,26,122,26
0.882772,1.0,27,122,27
0.882327,1.0,28,122,28
0.882295,1.0,29,122,29
0.881774,1.0,30,122,30
0.879792,1.0,31,122,31
0.876686,1.0,32,122,32
0.876254,1.0,33,122,33
0.872179,1.0,34,122,34
0.86544,1.0,35,122,35
0.864946,1.0,36,122,36
0.864269,0.972972972972973,37,122,36
0.862775,0.9736842105263158,38,122,37
0.854181,0.9743589743589743,39,122,38
0.853512,0.975,40,122,39
0.849344,0.975609756097561,41,122,40
0.848433,0.9761904761904762,42,122,41
0.847592,0.9767441860465116,43,122,42
0.846262,0.9545454545454546,44,122,42
0.839896,0.9555555555555556,45,122,43
0.837551,0.9565217391304348,46,122,44
0.834485,0.9574468085106383,47,122,45
0.834238,0.9583333333333334,48,122,46
0.834008,0.9591836734693877,49,122,47
0.833231,0.96,50,122,48
0.831181,0.9607843137254902,51,122,49
0.823762,0.9615384615384616,52,122,50
0.822245,0.9622641509433962,53,122,51
0.818085,0.9629629629629629,54,122,52
0.81802,0.9636363636363636,55,122,53
0.816102,0.9642857142857143,56,122,54
0.814573,0.9649122807017544,57,122,55
0.805857,0.9655172413793104,58,122,56
0.805298,0.9661016949152542,59,122,57
0.801444,0.9666666666666667,60,122,58
0.801293,0.9672131147540983,61,122,59
0.798301,0.967741935483871,62,122,60
0.797448,0.9682539682539683,63,122,61
0.797198,0.96875,64,122,62
0.79563,0.9692307692307692,65,122,63
0.795162,0.9696969696969697,66,122,64
0.790714,0.9701492537313433,67,122,65
0.787057,0.9705882352941176,68,122,66
0.784702,0.9710144927536232,69,122,67
0.784398,0.9714285714285714,70,122,68
0.784344,0.971830985915493,71,122,69
0.77906,0.9722222222222222,72,122,70
0.778746,0.9726027397260274,73,122,71
0.778053,0.972972972972973,74,122,72
0.774886,0.9733333333333334,75,122,73
0.772836,0.9736842105263158,76,122,74
0.772208,0.974025974025974,77,122,75
0.767795,0.9743589743589743,78,122,76
0.765998,0.9620253164556962,79,122,76
0.765316,0.9625,80,122,77
0.764681,0.9629629629629629,81,122,78
0.762945,0.9634146341463414,82,122,79
0.762703,0.963855421686747,83,122,80
0.760065,0.9642857142857143,84,122,81
0.759631,0.9647058823529412,85,122,82
0.753242,0.9655172413793104,87,122,84
0.752448,0.9659090909090909,88,122,85
0.74871,0.9662921348314607,89,122,86
0.747952,0.9555555555555556,90,122,86
0.740393,0.9560439560439561,91,122,87
0.740327,0.956989247311828,93,122,89
0.730565,0.9574468085106383,94,122,90
0.720456,0.9578947368421052,95,122,91
0.710773,0.9583333333333334,96,122,92
0.703163,0.9587628865979382,97,122,93
0.69205,0.9595959595959596,99,122,95
0.686055,0.9603960396039604,101,122,97
0.675972,0.9607843137254902,102,122,98
0.666493,0.9611650485436893,103,122,99
0.666407,0.9615384615384616,104,122,100
0.659212,0.9619047619047619,105,122,101
0.642094,0.9622641509433962,106,122,102
0.591394,0.9629629629629629,108,122,104
0.583078,0.963302752293578,109,122,105
0.563161,0.9545454545454546,110,122,105
0.548448,0.954954954954955,111,122,106
0.548011,0.9553571428571429,112,122,107
0.534061,0.9469026548672567,113,122,107
0.527702,0.9385964912280702,114,122,107
0.498018,0.9304347826086956,115,122,107
0.383956,0.9224137931034483,116,122,107
0.0,0.9224137931034483,116,122,107
