SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.97307,1.0,1,45,1
0.961316,0.5,2,45,1
0.898601,0.3333333333333333,3,45,1
0.869437,0.5,4,45,2
0.866104,0.6,5,45,3
0.853005,0.5,6,45,3
0.838173,0.5714285714285714,7,45,4
0.833133,0.625,8,45,5
0.832798,0.6666666666666666,9,45,6
0.78168,0.7,10,45,7
0.77459,0.7272727272727273,11,45,8
0.75131,0.75,12,45,9
0.744342,0.7692307692307693,13,45,10
0.738243,0.7857142857142857,14,45,11
0.680417,0.8,15,45,12
0.667363,0.8125,16,45,13
0.665227,0.8235294117647058,17,45,14
0.662205,0.8333333333333334,18,45,15
0.654665,0.8421052631578947,19,45,16
0.654336,0.85,20,45,17
0.638386,0.8095238095238095,21,45,17
0.638079,0.8181818181818182,22,45,18
0.570535,0.8260869565217391,23,45,19
0.52968,0.8333333333333334,24,45,20
0.465733,0.84,25,45,21
0.44726,0.8461538461538461,26,45,22
0.0,0.8461538461538461,26,45,22
