SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.964475,1.0,1,48,1
0.94971,1.0,2,48,2
0.935436,0.6666666666666666,3,48,2
0.869711,0.75,4,48,3
0.846607,0.8,5,48,4
0.827519,0.8333333333333334,6,48,5
0.825814,0.8571428571428571,7,48,6
0.818308,0.875,8,48,7
0.816994,0.8888888888888888,9,48,8
0.783194,0.9,10,48,9
0.780035,0.9090909090909091,11,48,10
0.777721,0.9166666666666666,12,48,11
0.776736,0.9230769230769231,13,48,12
0.734522,0.9333333333333333,15,48,14
0.732268,0.9375,16,48,15
0.72553,0.9565217391304348,23,48,22
0.712976,0.9583333333333334,24,48,23
0.694045,0.92,25,48,23
0.689395,0.9230769230769231,26,48,24
0.67188,0.9259259259259259,27,48,25
0.670997,0.9285714285714286,28,48,26
0.661746,0.896551724137931,29,48,26
0.652128,0.9,30,48,27
0.647861,0.8709677419354839,31,48,27
0.634121,0.875,32,48,28
0.62962,0.8787878787878788,33,48,29
0.610179,0.8529411764705882,34,48,29
0.607464,0.8571428571428571,35,48,30
0.60518,0.8611111111111112,36,48,31
0.598162,0.8648648648648649,37,48,32
0.540319,0.8421052631578947,38,48,32
0.490744,0.8205128205128205,39,48,32
0.457646,0.825,40,48,33
0.449363,0.8292682926829268,41,48,34
0.0,0.8292682926829268,41,48,34
