SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.88159,1.0,1,45,1
0.87585,0.5,2,45,1
0.84747,0.6666666666666666,3,45,2
0.839464,0.75,4,45,3
0.818537,0.6,5,45,3
0.776211,0.5,6,45,3
0.77327,0.42857142857142855,7,45,3
0.773248,0.375,8,45,3
0.771621,0.3333333333333333,9,45,3
0.770075,0.3,10,45,3
0.766124,0.2727272727272727,11,45,3
0.765148,0.25,12,45,3
0.750428,0.23076923076923078,13,45,3
0.743161,0.21428571428571427,14,45,3
0.74199,0.2,15,45,3
0.737475,0.1875,16,45,3
0.737219,0.17647058823529413,17,45,3
0.737086,0.16666666666666666,18,45,3
0.734741,0.15789473684210525,19,45,3
0.732006,0.15,20,45,3
0.731082,0.14285714285714285,21,45,3
0.731045,0.13636363636363635,22,45,3
0.724785,0.13043478260869565,23,45,3
0.702834,0.125,24,45,3
0.691826,0.12,25,45,3
0.689007,0.11538461538461539,26,45,3
0.684217,0.1111111111111111,27,45,3
0.684093,0.10714285714285714,28,45,3
0.679064,0.10344827586206896,29,45,3
0.676531,0.1,30,45,3
0.638562,0.0967741935483871,31,45,3
0.637408,0.09375,32,45,3
0.632603,0.09090909090909091,33,45,3
0.59598,0.08823529411764706,34,45,3
0.570658,0.08571428571428572,35,45,3
0.547892,0.08333333333333333,36,45,3
0.547581,0.08108108108108109,37,45,3
0.541802,0.07894736842105263,38,45,3
0.54054,0.07692307692307693,39,45,3
0.512949,0.075,40,45,3
0.491853,0.07317073170731707,41,45,3
0.0,0.07317073170731707,41,45,3
