SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.946054,1.0,1,44,1
0.942306,1.0,2,44,2
0.899783,1.0,3,44,3
0.898757,1.0,4,44,4
0.872162,1.0,5,44,5
0.85251,1.0,6,44,6
0.850676,1.0,7,44,7
0.841436,1.0,8,44,8
0.836558,1.0,9,44,9
0.834955,1.0,10,44,10
0.831145,1.0,11,44,11
0.826423,1.0,12,44,12
0.806685,1.0,13,44,13
0.784481,1.0,14,44,14
0.777279,1.0,15,44,15
0.764183,1.0,16,44,16
0.753606,1.0,17,44,17
0.749397,1.0,18,44,18
0.740832,0.9473684210526315,19,44,18
0.735602,0.95,20,44,19
0.733277,0.9523809523809523,21,44,20
0.730225,0.9545454545454546,22,44,21
0.716751,0.9565217391304348,23,44,22
0.707736,0.9583333333333334,24,44,23
0.69643,0.96,25,44,24
0.688958,0.9615384615384616,26,44,25
0.664065,0.9629629629629629,27,44,26
0.643297,0.9642857142857143,28,44,27
0.621445,0.9655172413793104,29,44,28
0.618865,0.9666666666666667,30,44,29
0.61698,0.967741935483871,31,44,30
0.598947,0.96875,32,44,31
0.582181,0.9696969696969697,33,44,32
0.555209,0.9705882352941176,34,44,33
0.464315,0.9714285714285714,35,44,34
0.0,0.9714285714285714,35,44,34
