SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.925894,1.0,6,125,6
0.925615,1.0,7,125,7
0.923671,1.0,8,125,8
0.91759,1.0,9,125,9
0.912343,1.0,10,125,10
0.911267,1.0,11,125,11
0.910963,1.0,12,125,12
0.908877,1.0,44,125,44
0.908541,1.0,47,125,47
0.907768,1.0,48,125,48
0.904774,1.0,49,125,49
0.899921,1.0,50,125,50
0.895344,1.0,52,125,52
0.894758,1.0,53,125,53
0.891286,1.0,57,125,57
0.890902,1.0,58,125,58
0.890893,1.0,59,125,59
0.888853,1.0,60,125,60
0.880049,1.0,61,125,61
0.872773,1.0,62,125,62
0.872739,1.0,63,125,63
0.863374,1.0,65,125,65
0.858273,1.0,66,125,66
0.857168,0.9850746268656716,67,125,66
0.857135,0.9852941176470589,68,125,67
0.854617,0.9855072463768116,69,125,68
0.852798,0.9857142857142858,70,125,69
0.847826,0.9859154929577465,71,125,70
0.845964,0.9861111111111112,72,125,71
0.842636,0.9864864864864865,74,125,73
0.842289,0.9866666666666667,75,125,74
0.819897,0.9868421052631579,76,125,75
0.81387,0.974025974025974,77,125,75
0.806974,0.9743589743589743,78,125,76
0.798965,0.9746835443037974,79,125,77
0.791233,0.9625,80,125,77
0.781829,0.9629629629629629,81,125,78
0.779714,0.9634146341463414,82,125,79
0.778364,0.963855421686747,83,125,80
0.773868,0.9647058823529412,85,125,82
0.771548,0.9534883720930233,86,125,82
0.764682,0.9540229885057471,87,125,83
0.762493,0.9550561797752809,89,125,85
0.74911,0.9555555555555556,90,125,86
0.74589,0.9565217391304348,92,125,88
0.743305,0.956989247311828,93,125,89
0.741585,0.9574468085106383,94,125,90
0.739336,0.9473684210526315,95,125,90
0.733779,0.9494949494949495,99,125,94
0.72696,0.94,100,125,94
0.716761,0.9405940594059405,101,125,95
0.715498,0.9411764705882353,102,125,96
0.704643,0.9320388349514563,103,125,96
0.702695,0.9333333333333333,105,125,98
0.672353,0.9158878504672897,107,125,98
0.611281,0.9074074074074074,108,125,98
0.61028,0.8909090909090909,110,125,98
0.596557,0.8828828828828829,111,125,98
0.566779,0.875,112,125,98
0.566514,0.8672566371681416,113,125,98
0.557896,0.8596491228070176,114,125,98
0.545994,0.8608695652173913,115,125,99
0.524449,0.853448275862069,116,125,99
0.517637,0.8461538461538461,117,125,99
0.514977,0.847457627118644,118,125,100
0.496586,0.8403361344537815,119,125,100
0.489736,0.8416666666666667,120,125,101
0.459397,0.8347107438016529,121,125,101
0.441937,0.8278688524590164,122,125,101
0.390091,0.8292682926829268,123,125,102
0.0,0.8292682926829268,123,125,102
