SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.859521,1.0,1,130,1
0.854939,1.0,2,130,2
0.854221,1.0,3,130,3
0.854128,1.0,4,130,4
0.85295,1.0,5,130,5
0.852903,1.0,6,130,6
0.852543,1.0,7,130,7
0.852066,1.0,8,130,8
0.851115,1.0,9,130,9
0.850309,1.0,10,130,10
0.847125,1.0,11,130,11
0.847042,1.0,12,130,12
0.844473,1.0,13,130,13
0.841799,1.0,14,130,14
0.841221,1.0,15,130,15
0.840834,1.0,16,130,16
0.840409,1.0,17,130,17
0.838811,1.0,18,130,18
0.838172,1.0,19,130,19
0.837485,1.0,20,130,20
0.836274,1.0,21,130,21
0.834313,1.0,22,130,22
0.834061,1.0,23,130,23
0.832784,1.0,24,130,24
0.832774,1.0,25,130,25
0.832282,1.0,26,130,26
0.830294,1.0,27,130,27
0.82585,1.0,28,130,28
0.825693,0.9655172413793104,29,130,28
0.825459,0.9666666666666667,30,130,29
0.822887,0.967741935483871,31,130,30
0.821506,0.96875,32,130,31
0.820743,0.9696969696969697,33,130,32
0.816912,0.9705882352941176,34,130,33
0.816264,0.9714285714285714,35,130,34
0.81567,0.9722222222222222,36,130,35
0.81555,0.972972972972973,37,130,36
0.814271,0.9736842105263158,38,130,37
0.813521,0.9743589743589743,39,130,38
0.810369,0.975,40,130,39
0.807912,0.975609756097561,41,130,40
0.807508,0.9761904761904762,42,130,41
0.805451,0.9767441860465116,43,130,42
0.804623,0.9772727272727273,44,130,43
0.804552,0.9777777777777777,45,130,44
0.804532,0.9782608695652174,46,130,45
0.802309,0.9787234042553191,47,130,46
0.80211,0.9791666666666666,48,130,47
0.801438,0.9795918367346939,49,130,48
0.801397,0.98,50,130,49
0.793677,0.9803921568627451,51,130,50
0.793317,0.9807692307692307,52,130,51
0.793066,0.9811320754716981,53,130,52
0.791421,0.9814814814814815,54,130,53
0.790113,0.9818181818181818,55,130,54
0.788674,0.9821428571428571,56,130,55
0.785222,0.9824561403508771,57,130,56
0.772323,0.9827586206896551,58,130,57
0.770972,0.9830508474576272,59,130,58
0.769376,0.9833333333333333,60,130,59
0.762392,0.9836065573770492,61,130,60
0.760287,0.9838709677419355,62,130,61
0.758926,0.9841269841269841,63,130,62
0.757689,0.984375,64,130,63
0.752399,0.9846153846153847,65,130,64
0.752339,0.9848484848484849,66,130,65
0.752138,0.9850746268656716,67,130,66
0.746332,0.9852941176470589,68,130,67
0.7416,0.9855072463768116,69,130,68
0.735599,0.9859154929577465,71,130,70
0.734349,0.9861111111111112,72,130,71
0.730202,0.9863013698630136,73,130,72
0.726409,0.9866666666666667,75,130,74
0.725866,0.9868421052631579,76,130,75
0.725341,0.9871794871794872,78,130,77
0.720018,0.9873417721518988,79,130,78
0.711112,0.975,80,130,78
0.707086,0.975609756097561,82,130,80
0.696994,0.9759036144578314,83,130,81
0.696149,0.9761904761904762,84,130,82
0.695882,0.9767441860465116,86,130,84
0.684281,0.9770114942528736,87,130,85
0.683706,0.9772727272727273,88,130,86
0.681749,0.9662921348314607,89,130,86
0.679741,0.9555555555555556,90,130,86
0.675091,0.945054945054945,91,130,86
0.67477,0.9456521739130435,92,130,87
0.66957,0.9354838709677419,93,130,87
0.665049,0.925531914893617,94,130,87
0.656624,0.9263157894736842,95,130,88
0.604364,0.9270833333333334,96,130,89
0.597764,0.9175257731958762,97,130,89
0.594844,0.9081632653061225,98,130,89
0.594346,0.898989898989899,99,130,89
0.57806,0.9,100,130,90
0.558889,0.900990099009901,101,130,91
0.55504,0.9019607843137255,102,130,92
0.549096,0.9029126213592233,103,130,93
0.54814,0.9038461538461539,104,130,94
0.540759,0.9047619047619048,105,130,95
0.534164,0.9056603773584906,106,130,96
0.527374,0.897196261682243,107,130,96
0.52467,0.8981481481481481,108,130,97
0.500894,0.8899082568807339,109,130,97
0.485248,0.8818181818181818,110,130,97
0.0,0.8818181818181818,110,130,97
