SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.984068,0.0,1,122,0
0.970721,0.0,2,122,0
0.965147,0.0,3,122,0
0.956625,0.0,4,122,0
0.934049,0.0,6,122,0
0.932827,0.0,7,122,0
0.931164,0.0,8,122,0
0.922981,0.0,11,122,0
0.916253,0.0,12,122,0
0.908772,0.0,13,122,0
0.905188,0.07142857142857142,14,122,1
0.904133,0.06666666666666667,15,122,1
0.901921,0.0625,16,122,1
0.901692,0.058823529411764705,17,122,1
0.896619,0.05555555555555555,18,122,1
0.894121,0.05263157894736842,19,122,1
0.892835,0.05,20,122,1
0.892317,0.047619047619047616,21,122,1
0.891438,0.045454545454545456,22,122,1
0.888517,0.043478260869565216,23,122,1
0.886411,0.041666666666666664,24,122,1
0.884319,0.04,25,122,1
0.883885,0.038461538461538464,26,122,1
0.882772,0.037037037037037035,27,122,1
0.882327,0.03571428571428571,28,122,1
0.882295,0.034482758620689655,29,122,1
0.881774,0.06666666666666667,30,122,2
0.879792,0.06451612903225806,31,122,2
0.876686,0.09375,32,122,3
0.876254,0.09090909090909091,33,122,3
0.872179,0.11764705882352941,34,122,4
0.86544,0.11428571428571428,35,122,4
0.864946,0.1111111111111111,36,122,4
0.864269,0.10810810810810811,37,122,4
0.862775,0.10526315789473684,38,122,4
0.854181,0.10256410256410256,39,122,4
0.853512,0.1,40,122,4
0.849344,0.0975609756097561,41,122,4
0.848433,0.09523809523809523,42,122,4
0.847592,0.09302325581395349,43,122,4
0.846262,0.09090909090909091,44,122,4
0.839896,0.08888888888888889,45,122,4
0.837551,0.08695652173913043,46,122,4
0.834485,0.0851063829787234,47,122,4
0.834238,0.08333333333333333,48,122,4
0.834008,0.08163265306122448,49,122,4
0.833231,0.08,50,122,4
0.831181,0.0784313725490196,51,122,4
0.823762,0.07692307692307693,52,122,4
0.822245,0.07547169811320754,53,122,4
0.818085,0.07407407407407407,54,122,4
0.81802,0.07272727272727272,55,122,4
0.816102,0.07142857142857142,56,122,4
0.814573,0.07017543859649122,57,122,4
0.805857,0.06896551724137931,58,122,4
0.805298,0.06779661016949153,59,122,4
0.801444,0.06666666666666667,60,122,4
0.801293,0.06557377049180328,61,122,4
0.798301,0.06451612903225806,62,122,4
0.797448,0.06349206349206349,63,122,4
0.797198,0.0625,64,122,4
0.79563,0.06153846153846154,65,122,4
0.795162,0.06060606060606061,66,122,4
0.790714,0.05970149253731343,67,122,4
0.787057,0.058823529411764705,68,122,4
0.784702,0.057971014492753624,69,122,4
0.784398,0.05714285714285714,70,122,4
0.784344,0.056338028169014086,71,122,4
0.77906,0.05555555555555555,72,122,4
0.778746,0.0547945205479452,73,122,4
0.778053,0.05405405405405406,74,122,4
0.774886,0.05333333333333334,75,122,4
0.772836,0.05263157894736842,76,122,4
0.772208,0.05194805194805195,77,122,4
0.767795,0.05128205128205128,78,122,4
0.765998,0.05063291139240506,79,122,4
0.765316,0.05,80,122,4
0.764681,0.04938271604938271,81,122,4
0.762945,0.04878048780487805,82,122,4
0.762703,0.04819277108433735,83,122,4
0.760065,0.047619047619047616,84,122,4
0.759631,0.047058823529411764,85,122,4
0.753242,0.04597701149425287,87,122,4
0.752448,0.045454545454545456,88,122,4
0.74871,0.0449438202247191,89,122,4
0.747952,0.044444444444444446,90,122,4
0.740393,0.04395604395604396,91,122,4
0.740327,0.043010752688172046,93,122,4
0.730565,0.0425531914893617,94,122,4
0.720456,0.042105263157894736,95,122,4
0.710773,0.041666666666666664,96,122,4
0.703163,0.041237113402061855,97,122,4
0.69205,0.04040404040404041,99,122,4
0.686055,0.039603960396039604,101,122,4
0.675972,0.0392156862745098,102,122,4
0.666493,0.038834951456310676,103,122,4
0.666407,0.038461538461538464,104,122,4
0.659212,0.0380952380952381,105,122,4
0.642094,0.03773584905660377,106,122,4
0.591394,0.037037037037037035,108,122,4
0.583078,0.03669724770642202,109,122,4
0.563161,0.03636363636363636,110,122,4
0.548448,0.036036036036036036,111,122,4
0.548011,0.03571428571428571,112,122,4
0.534061,0.035398230088495575,113,122,4
0.527702,0.03508771929824561,114,122,4
0.498018,0.034782608695652174,115,122,4
0.383956,0.034482758620689655,116,122,4
0.0,0.034482758620689655,116,122,4
