SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.97307,1.0,1,45,1
0.961316,0.5,2,45,1
0.898601,0.6666666666666666,3,45,2
0.869437,0.75,4,45,3
0.866104,0.8,5,45,4
0.853005,0.8333333333333334,6,45,5
0.838173,0.7142857142857143,7,45,5
0.833133,0.75,8,45,6
0.832798,0.7777777777777778,9,45,7
0.78168,0.8,10,45,8
0.77459,0.8181818181818182,11,45,9
0.75131,0.8333333333333334,12,45,10
0.744342,0.8461538461538461,13,45,11
0.738243,0.8571428571428571,14,45,12
0.680417,0.8666666666666667,15,45,13
0.667363,0.875,16,45,14
0.665227,0.8823529411764706,17,45,15
0.662205,0.8888888888888888,18,45,16
0.654665,0.8947368421052632,19,45,17
0.654336,0.9,20,45,18
0.638386,0.8571428571428571,21,45,18
0.638079,0.8636363636363636,22,45,19
0.616945,0.8260869565217391,23,45,19
0.570535,0.8333333333333334,24,45,20
0.536267,0.8,25,45,20
0.52968,0.8076923076923077,26,45,21
0.514885,0.7777777777777778,27,45,21
0.465733,0.7857142857142857,28,45,22
0.44726,0.7586206896551724,29,45,22
0.376423,0.7333333333333333,30,45,22
0.299799,0.7096774193548387,31,45,22
0.0,0.7096774193548387,31,45,22
