SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.964475,0.0,1,48,0
0.94971,0.0,2,48,0
0.935436,0.0,3,48,0
0.869711,0.0,4,48,0
0.846607,0.0,5,48,0
0.827519,0.16666666666666666,6,48,1
0.825814,0.14285714285714285,7,48,1
0.818308,0.125,8,48,1
0.816994,0.2222222222222222,9,48,2
0.783194,0.2,10,48,2
0.780035,0.2727272727272727,11,48,3
0.777721,0.25,12,48,3
0.776736,0.3076923076923077,13,48,4
0.734522,0.26666666666666666,15,48,4
0.732268,0.25,16,48,4
0.72553,0.17391304347826086,23,48,4
0.712976,0.16666666666666666,24,48,4
0.694045,0.16,25,48,4
0.689395,0.15384615384615385,26,48,4
0.67188,0.14814814814814814,27,48,4
0.670997,0.17857142857142858,28,48,5
0.661746,0.1724137931034483,29,48,5
0.652128,0.16666666666666666,30,48,5
0.647861,0.16129032258064516,31,48,5
0.634121,0.1875,32,48,6
0.62962,0.21212121212121213,33,48,7
0.610179,0.20588235294117646,34,48,7
0.607464,0.22857142857142856,35,48,8
0.60518,0.25,36,48,9
0.598162,0.24324324324324326,37,48,9
0.540319,0.23684210526315788,38,48,9
0.490744,0.23076923076923078,39,48,9
0.457646,0.225,40,48,9
0.449363,0.21951219512195122,41,48,9
0.0,0.21951219512195122,41,48,9
