FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,B-email,-0.7182
tokenOcr_LEFT_0=invoice,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,B-email,0.4411
posIn_Token_NamedEntity_6,c.w.v.s.nlp.component.fe.PositionInCoveringFE@9fe31bf63185afd1052980be8b0eca8d,B-email,0.4300
special_char=@,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,B-email,0.4110
PNnECh_1=c,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,B-email,0.4069
ChP=X+,c.w.v.nlp.uima.fe.token.CharacterPatternFE@fc8e8c5d9705b5d36333719684bb2c43,B-email,-0.4067
PNnECh_2=om,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,B-email,0.4056
PNnECh_3=com,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@235443977571d92a55d11a2664dac2db,B-email,0.4055
F_FL_0_3_1_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,B-email,-0.3822
F_FL_0_3_1_special_char=(,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,B-email,-0.3748
F_PR_0_3_0_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,B-email,0.3724
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,B-email,-0.3306
ChP=x+punctx+,c.w.v.nlp.uima.fe.token.CharacterPatternFE@fc8e8c5d9705b5d36333719684bb2c43,B-email,0.3268
NGW_W3_PR_0_3_0_special_char=)=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@1d57c3c5651f0ef5f6e45481fd6320be,B-email,0.3183
NGW_W2_PR_0_3_0_special_char=-=1.0_special_char=-=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,B-email,0.3127
FrstTknCptl,c.w.n.u.f.c.t.CellTypeFirstTokenCapitalizedFE@9ecda532199d7a41cdc6ca8c78bfe2ab,B-email,-0.3040
F_PR_0_3_2_special_char=),c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,B-email,0.2931
email_keywords_preceded,c.w.a.f.g.IsPrecededWithKeywordsInLineFeatureExtractor@24181b92cf0da63c28e11ad80e123113,B-email,0.2811
XxN=Xx,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,B-email,-0.2765
NGW_W2_PR_0_3_0_special_char=)=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,B-email,0.2658
F_CI_Cell_0_F_C_NamedEntity_2_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,B-email,0.2528
NGW_W3_PR_0_3_0_special_char=-=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@1d57c3c5651f0ef5f6e45481fd6320be,B-email,-0.2472
XxN=N,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,B-email,-0.2430
X1xN3=X1x,c.w.v.nlp.uima.fe.token.CharPatternX1xN3FE@f578320dc258065cfbe8f395bf853565,B-email,-0.2178
special_char=),c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,B-email,-0.2164
F_PR_0_3_1_special_char=(,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,B-email,0.2096
NGW_W2_PR_0_3_1_special_char=-=1.0_special_char=-=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,B-email,-0.2022
XxN=x,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,B-email,-0.2003
CellColNumLessThanLowerRow,c.w.n.u.f.c.rowFEs.CellColNumLessThanLowerRowFE@3e089236ae89401a5873b242c8bbaef5,B-email,0.1987
F_CI_Cell_0_F_C_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,B-email,0.1778
F_FL_0_3_1_special_char=@,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,B-email,0.1774
F_FL_0_3_1_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,B-email,-0.1762
F_FL_0_3_0_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,B-email,-0.1752
