FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
PNnECh_2=le,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,E-email,0.5373
X1x1N=x3,c.w.v.nlp.uima.fe.token.CharPatternX1x1NFE@d183b8e1889ede0935f1aa14760bf61d,E-email,0.5293
F_PR_0_3_0_special_char=@,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,E-email,0.5214
F_PR_0_3_0_SmlKwrds_8_0_email,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.SimilarityToKeywordsFE@d1ce817adc92031ecc29e7a6a0a2ce45,E-email,-0.4827
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,E-email,-0.4731
F_PR_0_3_1_SmlKwrds_8_0_email,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.SimilarityToKeywordsFE@d1ce817adc92031ecc29e7a6a0a2ce45,E-email,0.4098
FrstTknCptl,c.w.n.u.f.c.t.CellTypeFirstTokenCapitalizedFE@9ecda532199d7a41cdc6ca8c78bfe2ab,E-email,-0.3888
posIn_Token_Line_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,E-email,-0.3589
PNnECh_1=e,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,E-email,0.3576
tokenOcr_LEFT_2,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,E-email,-0.3490
F_PR_0_3_1_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,E-email,0.3469
F_FL_0_3_1_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-email,-0.3015
F_FL_0_3_1_special_char=(,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-email,-0.2845
KwrdInAnn_email_Line,c.w.v.s.n.component.fe.FocusElementKeywordsFE@ddc8a42afdac711e5c9f64fdedd495ed,E-email,0.2784
F_FL_0_3_2_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-email,-0.2639
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,E-email,0.2611
F_PR_0_3_2_special_char=@,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,E-email,0.2487
NGW_W2_PR_0_3_1_special_char=.=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,E-email,0.2469
posIn_Token_Line_5,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,E-email,0.2417
SVInNer_supplier_name,c.w.n.uima.fe.token.StringValueInNerTypeFE@f05a37d59dc044e91655a6fd33985f72,E-email,0.2396
F_FL_0_3_0_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-email,-0.2386
PNnECh_1=.,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,E-email,0.2280
NGW_W2_PR_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=supplier_name=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,E-email,0.2208
F_PR_0_3_2_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,E-email,0.2203
posIn_Token_LayoutBlock_2,c.w.v.s.nlp.component.fe.PositionInCoveringFE@89aaa76fc4fbae2aa21f25bd9ca3c5a1,E-email,0.2136
posIn_Line_Cell_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@ffe155d0ef50d3ccfce39bc209399252,E-email,-0.2104
special_char=(,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,E-email,-0.2073
special_char=),c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,E-email,-0.2062
ChP=X+,c.w.v.nlp.uima.fe.token.CharacterPatternFE@fc8e8c5d9705b5d36333719684bb2c43,E-email,-0.1983
PNnECh_3=ail,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@235443977571d92a55d11a2664dac2db,E-email,0.1934
PNnECh_4=mail,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@267f399f3dbf3064d6e21ae4dad891ae,E-email,0.1934
PNnECh_2=il,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,E-email,0.1933
F_CI_Cell_0_F_C_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,E-email,-0.1914
PNnECh_1=l,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,E-email,0.1898
F_FL_0_3_1_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-email,-0.1829
email_keywords_preceded,c.w.a.f.g.IsPrecededWithKeywordsInLineFeatureExtractor@24181b92cf0da63c28e11ad80e123113,E-email,0.1821
special_char=@,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,E-email,-0.1818
X1xN3=X1x,c.w.v.nlp.uima.fe.token.CharPatternX1xN3FE@f578320dc258065cfbe8f395bf853565,E-email,-0.1775
XxN=Xx,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,E-email,-0.1772
CellColNumLessThanLowerRow,c.w.n.u.f.c.rowFEs.CellColNumLessThanLowerRowFE@3e089236ae89401a5873b242c8bbaef5,E-email,0.1709
F_CI_Cell_0_F_C_NamedEntity_2_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,E-email,0.1534
NGW_W3_PR_0_3_0_special_char=-=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@1d57c3c5651f0ef5f6e45481fd6320be,E-email,-0.1502
NGW_W2_PR_0_3_0_special_char=-=1.0_special_char=-=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,E-email,-0.1393
ChSepPtn_.,c.w.n.u.fe.cell.charFEs.CharSeparatorPatternFE@ec17f74b631911e207a8cd9cee7bfbf2,E-email,-0.1203
cellNotInHeader,c.w.v.nlp.uima.fe.cell.row.CellNotInHeaderFE@f8447f5c5b9f18deb3ab08fcbe86d130,E-email,-0.1153
NGW_W3_PR_0_3_0_special_char=.=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@1d57c3c5651f0ef5f6e45481fd6320be,E-email,-0.1140
XxN=N,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,E-email,-0.1107
FirstLineRect_Left,c.w.n.u.fe.cell.cellFEs.FirstLineRectangleFE@b6c638698e70b034b7b16e65632061f4,E-email,0.1082
posIn_Token_Line_1,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,E-email,-0.1062
tokenOcr_RIGHT_1,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@77cafaa04e1418d241a1b3b21da37b1e,E-email,-0.1006
