FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
FrstTknCptl,c.w.n.u.f.c.t.CellTypeFirstTokenCapitalizedFE@9ecda532199d7a41cdc6ca8c78bfe2ab,I-email,-0.3553
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,I-email,-0.3038
F_CI_Cell_0_F_C_NamedEntity_2_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,I-email,0.2995
posIn_Token_Line_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,I-email,-0.2501
F_CI_Cell_0_F_C_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,I-email,-0.2395
cellNotInHeader,c.w.v.nlp.uima.fe.cell.row.CellNotInHeaderFE@f8447f5c5b9f18deb3ab08fcbe86d130,I-email,-0.2289
posIn_Line_Cell_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@ffe155d0ef50d3ccfce39bc209399252,I-email,-0.2185
special_char=-,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,I-email,-0.1773
X1xN3=X1x,c.w.v.nlp.uima.fe.token.CharPatternX1xN3FE@f578320dc258065cfbe8f395bf853565,I-email,-0.1639
XxN=Xx,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,I-email,-0.1637
F_CI_Cell_0_F_C_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,I-email,0.1597
FNF_supplier_name_LayoutBlock,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@55f668c89403ee9394e329e6b571b957,I-email,0.1518
