FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,S-email,-0.7077
NGW_W2_PR_0_3_1_special_char=-=1.0_special_char=-=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,S-email,-0.6116
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,S-email,0.6059
FNF_email_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,S-email,0.5886
FrstTknCptl,c.w.n.u.f.c.t.CellTypeFirstTokenCapitalizedFE@9ecda532199d7a41cdc6ca8c78bfe2ab,S-email,-0.5041
special_char=@,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,S-email,0.4520
LNIFA_supplier_name_Cell,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@e75289053b123accc9fabc8ab6170840,S-email,0.3801
F_FL_0_5_4_CI_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-email,-0.3739
F_FL_0_5_4_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-email,-0.3738
LNIFA_supplier_name_LayoutBlock,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@fb4e8d9dbf8464c604ace1c964402e46,S-email,0.3552
PNnECh_4=mail,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@267f399f3dbf3064d6e21ae4dad891ae,S-email,0.3520
PNnECh_3=ail,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@235443977571d92a55d11a2664dac2db,S-email,0.3363
PNnECh_2=il,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,S-email,0.3351
NGW_W2_PR_0_3_0_special_char=-=1.0_special_char=-=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,S-email,-0.3334
F_PR_0_3_2_special_char=),c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,S-email,0.3309
ChP=X+,c.w.v.nlp.uima.fe.token.CharacterPatternFE@fc8e8c5d9705b5d36333719684bb2c43,S-email,-0.3277
special_char=(,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,S-email,0.3264
F_FL_0_3_0_special_char=),c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,S-email,0.3175
PNnECh_3=com,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@235443977571d92a55d11a2664dac2db,S-email,0.3038
PNnECh_1=l,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,S-email,0.2990
top0,c.w.v.n.u.f.s.position.TopRightAbsolutePositionFE@6fb282340bf5ef6b1439f0d45ed2e64b,S-email,-0.2978
email_feature,c.w.a.f.g.IsCoveredWithParticularNerFeatureExtractor@b219515919b309b02aa1b4967f2ff742,S-email,0.2884
PNnECh_2=om,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,S-email,0.2809
posIn_Token_Line_5,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,S-email,0.2693
FNF_supplier_name_LayoutBlock,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@55f668c89403ee9394e329e6b571b957,S-email,0.2608
F_FL_0_3_1_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,S-email,0.2589
F_FL_0_3_1_special_char=(,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,S-email,0.2523
PNnECh_1=L,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,S-email,0.2348
special_char=-,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,S-email,-0.2345
F_PR_0_3_0_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,S-email,-0.2343
F_PR_0_3_2_F_CI_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,S-email,-0.2339
F_PR_0_3_2_F_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,S-email,-0.2339
right0,c.w.v.n.u.f.s.position.TopRightAbsolutePositionFE@6fb282340bf5ef6b1439f0d45ed2e64b,S-email,0.2285
XxN=Xx,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,S-email,-0.2132
X1xN3=X1x,c.w.v.nlp.uima.fe.token.CharPatternX1xN3FE@f578320dc258065cfbe8f395bf853565,S-email,-0.2132
posIn_Token_LayoutBlock_6,c.w.v.s.nlp.component.fe.PositionInCoveringFE@89aaa76fc4fbae2aa21f25bd9ca3c5a1,S-email,-0.2096
NGW_W2_PR_0_3_1_special_char=.=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,S-email,-0.2088
NGW_W3_PR_0_3_0_special_char=.=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@1d57c3c5651f0ef5f6e45481fd6320be,S-email,-0.2075
email_keywords_preceded,c.w.a.f.g.IsPrecededWithKeywordsInLineFeatureExtractor@24181b92cf0da63c28e11ad80e123113,S-email,-0.1956
F_CI_Cell_0_F_C_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,S-email,0.1860
FNF_supplier_name_Cell,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@d0f2209505a3e8293e2c6966a6aa03c1,S-email,0.1835
F_CI_Cell_0_F_C_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,S-email,0.1803
F_FL_0_5_1_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-email,-0.1750
F_FL_0_5_1_CI_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-email,-0.1749
NGW_W2_PR_0_3_1_F_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=supplier_name=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,S-email,0.1699
F_PR_0_3_1_SmlKwrds_8_0_email,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.SimilarityToKeywordsFE@d1ce817adc92031ecc29e7a6a0a2ce45,S-email,-0.1583
posIn_Cell_Row_1,c.w.v.s.nlp.component.fe.PositionInCoveringFE@b3485cbedd9763bfe5148a61b8906bb9,S-email,-0.1460
EmptyCellCountGreaterEquals_2,c.w.n.u.f.c.c.CellEmptyCellsCountInColumnFE@5bd1f74ff44aac31a4d4ce0350700f4c,S-email,-0.1432
EmptyCellCountGreaterEquals_1,c.w.n.u.f.c.c.CellEmptyCellsCountInColumnFE@5bd1f74ff44aac31a4d4ce0350700f4c,S-email,-0.1344
