FEATURE_NAME,FEATURE_EXTRACTOR,TP,FP,SCORE
FNF_email_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,42,5,0.89
email_feature,c.w.a.f.g.IsCoveredWithParticularNerFeatureExtractor@b219515919b309b02aa1b4967f2ff742,43,12,0.78
PNnECh_4=mail,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@267f399f3dbf3064d6e21ae4dad891ae,35,12,0.74
special_char=@,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,46,18,0.72
PNnECh_3=ail,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@235443977571d92a55d11a2664dac2db,36,16,0.69
PNnECh_2=il,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,36,27,0.57
KwrdInAnn_email_Line,c.w.v.s.n.component.fe.FocusElementKeywordsFE@ddc8a42afdac711e5c9f64fdedd495ed,37,213,0.15
email_keywords_preceded,c.w.a.f.g.IsPrecededWithKeywordsInLineFeatureExtractor@24181b92cf0da63c28e11ad80e123113,36,350,0.09
PNnECh_1=l,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,36,398,0.08
LNIFA_supplier_name_LayoutBlock,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@fb4e8d9dbf8464c604ace1c964402e46,47,563,0.08
FNF_supplier_name_LayoutBlock,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@55f668c89403ee9394e329e6b571b957,42,572,0.07
ChP=x+punctx+,c.w.v.nlp.uima.fe.token.CharacterPatternFE@fc8e8c5d9705b5d36333719684bb2c43,3,70,0.04
F_CI_Cell_0_F_C_NamedEntity_2_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,11,322,0.03
