FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
FNF_date_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,B-invoice_date,0.5056
F_FL_0_3_0_F_CI_NamedEntity_2_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,B-invoice_date,-0.4047
F_CI_Tag_9_DateTokensCount_2,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.DateTokensCountFE@636ee09f7be1b73735cf833b3bcce1f8,B-invoice_date,0.3695
CAARIPG_20,c.w.n.u.f.c.tokenFEs.ElementValueRepeatedInPageFE@dfe7aebd98f48d04bbb6e11204748bed,B-invoice_date,0.3675
FNF_month_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,B-invoice_date,0.3406
B-NER_date,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,B-invoice_date,0.3340
FNF_date_Page,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@be622206baf07945769dc33dcfa889fe,B-invoice_date,0.3266
TRIR_20,c.w.n.u.f.c.t.FocusElementRepeatedInSearchElementFE@cab42e99ea83d379cdcc45ee8623d3a3,B-invoice_date,0.3248
F_FL_0_3_2_F_CI_NamedEntity_2_ElementProperty_mentionType=zipcode,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,B-invoice_date,-0.3243
F_FL_0_3_2_F_CI_NamedEntity_0_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,B-invoice_date,-0.3242
LNIFA_date_Page,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@fcab8fd0a1f30560ecebe697a9b086f5,B-invoice_date,-0.3170
F_PR_0_3_1_ALC_AutoMLToken=invoice,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,B-invoice_date,0.2931
F_FL_0_3_0_F_CI_NamedEntity_3_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,B-invoice_date,-0.2788
CCNTLt,c.w.n.u.f.cell.columnFEs.CellColumnNumToLastFE@fa66254d2b6d16deeb1452bf075b7855,B-invoice_date,-0.2763
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,B-invoice_date,-0.2713
F_PR_0_3_0_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,B-invoice_date,0.2677
F_FL_0_3_2_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,B-invoice_date,-0.2356
F_FL_0_5_1_CI_NamedEntity_0_ElementProperty_mentionType=zipcode,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,B-invoice_date,-0.2354
AFNChCN_1,c.w.n.u.f.c.c.AreFirstNCharNumbersAndCapitalizedFE@1dc177aebae58d12b766e6aad7d26af6,B-invoice_date,-0.2198
F_PR_0_3_2_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,B-invoice_date,-0.2156
F_CI_Line_0_F_C_NamedEntity_1_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,B-invoice_date,0.2139
Last_1_Char=e,c.w.nlp.uima.fe.token.LastNCharsFE@65b350cbb661fe2a085881da0f3184a5,B-invoice_date,-0.2130
tokenOcr_LEFT_0=date,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,B-invoice_date,0.2064
F_CI_Line_0_PR_0_2_0_KwrdInAnn_date_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@8ef41328935721527f0f497e84d93443,B-invoice_date,-0.2048
