FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
FNF_year_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,E-invoice_date,0.5775
FNF_date_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,E-invoice_date,0.4086
F_PR_0_3_2_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,E-invoice_date,0.3610
F_FL_0_3_1_ALC_AutoMLToken=due,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,E-invoice_date,0.3607
F_CI_Tag_9_DateTokensCount_2,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.DateTokensCountFE@636ee09f7be1b73735cf833b3bcce1f8,E-invoice_date,0.3581
F_FL_0_3_2_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-invoice_date,0.3491
FNF_year_Page,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@be622206baf07945769dc33dcfa889fe,E-invoice_date,0.3330
F_FL_0_3_1_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-invoice_date,-0.3190
XxN=x,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,E-invoice_date,-0.2885
F_FL_0_3_1_ALC_AutoMLToken=name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,E-invoice_date,0.2848
