FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
F_CI_Tag_9_DateTokensCount_2,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.DateTokensCountFE@636ee09f7be1b73735cf833b3bcce1f8,I-invoice_date,0.7099
tokenOcr_LEFT_1=invoice,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,I-invoice_date,0.4240
CCNTLt,c.w.n.u.f.cell.columnFEs.CellColumnNumToLastFE@fa66254d2b6d16deeb1452bf075b7855,I-invoice_date,-0.4029
FNF_date_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,I-invoice_date,0.3962
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,I-invoice_date,-0.3720
posIn_Token_Line_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,I-invoice_date,-0.3493
Last_2_Char,c.w.nlp.uima.fe.token.LastNCharsFE@a84c869fa3869e3d722299535dd01fb0,I-invoice_date,-0.3325
tokenOcr_LEFT_2=date,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,I-invoice_date,-0.3273
FNF_date_Page,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@be622206baf07945769dc33dcfa889fe,I-invoice_date,0.3156
F_CI_Line_0_PR_0_2_0_KwrdInAnn_invoice date_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@8ef41328935721527f0f497e84d93443,I-invoice_date,0.2974
F_PR_0_3_1_ALC_AutoMLToken=due,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,I-invoice_date,-0.2883
F_CI_Line_0_LNL_2_0_KwrdInAnn_date_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@81b97ac50c75649c7ea9f3d97116cdd8,I-invoice_date,0.2832
posIn_Token_NamedEntity_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@9fe31bf63185afd1052980be8b0eca8d,I-invoice_date,-0.2800
I-NER_date,c.w.n.uima.fe.token.IsMiddleOfNamedEntityFE@0f92027ddde8bf2e0ca44c9bda0cd281,I-invoice_date,0.2794
B-NER_date,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,I-invoice_date,-0.2791
AFNChCN_1,c.w.n.u.f.c.c.AreFirstNCharNumbersAndCapitalizedFE@1dc177aebae58d12b766e6aad7d26af6,I-invoice_date,-0.2762
F_CI_Line_0_F_C_NamedEntity_1_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,I-invoice_date,0.2718
F_FL_0_3_0_F_CI_NamedEntity_2_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,I-invoice_date,0.2714
F_CI_Line_0_LNL_2_1_F_C_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@0a85b1d636fa39979776d208c36ff1ac,I-invoice_date,0.2635
F_PR_0_3_0_ALC_AutoMLToken=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,I-invoice_date,0.2635
F_FL_0_5_1_CI_NamedEntity_0_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,I-invoice_date,-0.2547
F_PR_0_3_2_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,I-invoice_date,0.2478
F_FL_0_3_2_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,I-invoice_date,-0.2461
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,I-invoice_date,-0.2431
DisToNer_month,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,I-invoice_date,-0.2356
SLKM_PCell_invoice,c.w.v.s.n.c.f.PreviousElementSameLineKeywordsMatchFE@0967ce6d41d2ccbe66d5e8dcc2290dc1,I-invoice_date,0.2341
F_CI_Line_0_F_C_NamedEntity_0_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,I-invoice_date,0.2234
DisToNer_year,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,I-invoice_date,-0.2184
F_FL_0_5_4_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,I-invoice_date,-0.2173
F_CI_Line_0_LNL_2_1_F_C_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@0a85b1d636fa39979776d208c36ff1ac,I-invoice_date,0.2152
XxN=x,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,I-invoice_date,-0.1991
F_CI_Line_0_FL_0_2_0_F_C_NamedEntity_1_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,I-invoice_date,0.1909
tokenOcr_LEFT_0=date,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,I-invoice_date,-0.1891
F_CI_Line_0_F_C_NamedEntity_2_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,I-invoice_date,0.1866
F_CI_Tag_5_DateTokensCount_2,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.DateTokensCountFE@636ee09f7be1b73735cf833b3bcce1f8,I-invoice_date,-0.1838
F_FL_0_3_0_F_CI_NamedEntity_3_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,I-invoice_date,0.1827
DisToNer_date,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,I-invoice_date,-0.1776
F_PR_0_3_2_F_CI_NamedEntity_0_ElementProperty_mentionType=invoiceNumberMarkerWords,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,I-invoice_date,-0.1751
PCSLCT_Date,c.w.n.u.f.c.c.PreviousCellSameLineCoveredTokensFE@e6bbe91568cedfea37f7e0f97f247e79,I-invoice_date,0.1732
F_CI_Tag_12_DateTokensCount_2,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.DateTokensCountFE@636ee09f7be1b73735cf833b3bcce1f8,I-invoice_date,0.1691
F_FL_0_3_1_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,I-invoice_date,-0.1683
in_first_10_lines,c.w.a.f.c.IsInFirstOrLastNLinesInDocumentFeatureExtractor@323303939bcbe6b3fdd5e5e751f94eca,I-invoice_date,-0.1680
B-NER_month,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,I-invoice_date,-0.1680
F_PR_0_3_1_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,I-invoice_date,0.1657
TokenPositionInNer_date_2,c.w.n.u.fe.cell.tokenFEs.TokenPositionInNerFE@908566658c2da403ae7a79c6318c1ae1,I-invoice_date,0.1653
DisToNer_invoiceNumberMarkerWords,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,I-invoice_date,-0.1619
F_PR_0_3_0_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,I-invoice_date,-0.1593
XxN=Xx,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,I-invoice_date,-0.1574
DisToNer_companySuffix,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,I-invoice_date,-0.1562
F_CI_NamedEntity_0_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@9e74914a0a46bac44f257b5d17cb3b4d,I-invoice_date,-0.1547
