FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
IsCapitalCharNumberHyphenStar,c.w.nlp.uima.fe.token.ElementTextRegexFE@c43f049ccbf190c176941500c5ee7848,S-invoice_date,-0.5892
SVInNer_date,c.w.n.uima.fe.token.StringValueInNerTypeFE@f05a37d59dc044e91655a6fd33985f72,S-invoice_date,0.5849
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,S-invoice_date,-0.5689
F_PR_0_3_0_SmlKwrds_8_0_date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.SimilarityToKeywordsFE@7cbfb84a64abc0ec7e6ef187ab85e65b,S-invoice_date,0.4451
XxN=Xx,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,S-invoice_date,-0.4137
X1x2N3=N2_1N2_1N4,c.w.v.nlp.uima.fe.token.CharPatternX1x2N3FE@edc3d794d97a97942752741fde441ba4,S-invoice_date,0.4024
F_FL_0_3_2_F_CI_NamedEntity_2_ElementProperty_mentionType=zipcode,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,S-invoice_date,0.4010
F_FL_0_3_0_ALC_AutoMLToken=to,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,S-invoice_date,0.3928
F_PR_0_3_2_ALC_AutoMLToken=no.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,S-invoice_date,0.3755
F_CI_Line_0_FL_0_2_0_F_C_NamedEntity_5_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,S-invoice_date,0.3637
CCNTLt,c.w.n.u.f.cell.columnFEs.CellColumnNumToLastFE@fa66254d2b6d16deeb1452bf075b7855,S-invoice_date,-0.3496
F_PR_0_3_0_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,S-invoice_date,-0.3306
posIn_Token_NamedEntity_4,c.w.v.s.nlp.component.fe.PositionInCoveringFE@9fe31bf63185afd1052980be8b0eca8d,S-invoice_date,0.3085
FNF_zipcode_LayoutBlock,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@55f668c89403ee9394e329e6b571b957,S-invoice_date,0.3077
F_CI_Line_0_F_C_NamedEntity_1_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,S-invoice_date,-0.3040
FNF_invoice_date_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,S-invoice_date,0.3019
First_2_Char=Wo,c.w.nlp.uima.fe.token.FirstNCharsFE@b333e00571361683668d8849f80da196,S-invoice_date,0.3009
F_CI_Line_0_FL_0_2_1_F_C_NamedEntity_0_ElementProperty_mentionType=zipcode,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,S-invoice_date,0.3006
F_FL_0_5_0_CI_NamedEntity_2_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-invoice_date,-0.3004
FNF_invoice_date_Page,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@be622206baf07945769dc33dcfa889fe,S-invoice_date,0.2999
First_1_Char=W,c.w.nlp.uima.fe.token.FirstNCharsFE@cc383f0b515d13936818694c5adbda2a,S-invoice_date,0.2996
LNIFA_zipcode_Page,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@fcab8fd0a1f30560ecebe697a9b086f5,S-invoice_date,0.2951
posIn_Token_NamedEntity_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@9fe31bf63185afd1052980be8b0eca8d,S-invoice_date,-0.2829
DisToNer_supplier_name,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,S-invoice_date,-0.2808
DisToNer_date,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,S-invoice_date,-0.2787
invoice_date_match_table_row_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@c077578c7c5b652be6eeb8153469b07c,S-invoice_date,0.2765
Last_1_Char=o,c.w.nlp.uima.fe.token.LastNCharsFE@65b350cbb661fe2a085881da0f3184a5,S-invoice_date,0.2763
DisToNer_invoiceNumberMarkerWords,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,S-invoice_date,-0.2761
F_CI_Line_0_FL_0_2_0_F_C_NamedEntity_1_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,S-invoice_date,0.2741
F_PR_0_3_0_special_char=/,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,S-invoice_date,-0.2741
F_CI_Line_0_F_C_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,S-invoice_date,-0.2672
F_FL_0_3_1_special_char=*,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,S-invoice_date,0.2658
F_FL_0_5_3_CI_NamedEntity_1_ElementProperty_mentionType=zipcode,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-invoice_date,-0.2606
XxN=N_N,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,S-invoice_date,0.2597
IsLastNumLineInCell,c.w.n.u.f.cell.lineFEs.IsLastNumericLineInCellFE@cc04e1c133f7cfc2ba63530dd6fe0337,S-invoice_date,-0.2596
F_FL_0_3_2_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,S-invoice_date,-0.2584
F_PR_0_3_0_F_CI_NamedEntity_2_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,S-invoice_date,-0.2583
