FEATURE_NAME,FEATURE_EXTRACTOR,TP,FP,SCORE
FNF_month_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,56,6,0.90
FNF_date_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,176,24,0.88
FNF_month_Page,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@be622206baf07945769dc33dcfa889fe,27,5,0.84
FNF_date_Page,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@be622206baf07945769dc33dcfa889fe,88,24,0.79
FNF_year_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,69,19,0.78
F_CI_NamedEntity_0_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@9e74914a0a46bac44f257b5d17cb3b4d,50,15,0.77
F_PR_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,50,15,0.77
F_PR_0_3_0_F_CI_NamedEntity_1_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,51,18,0.74
F_FL_0_3_0_F_CI_NamedEntity_3_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,47,17,0.73
F_FL_0_5_1_CI_NamedEntity_3_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,47,17,0.73
TokenPositionInNer_date_2,c.w.n.u.fe.cell.tokenFEs.TokenPositionInNerFE@908566658c2da403ae7a79c6318c1ae1,49,19,0.72
F_FL_0_3_1_F_CI_NamedEntity_2_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,49,19,0.72
B-NER_month,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,53,22,0.71
F_FL_0_3_0_F_CI_NamedEntity_2_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,48,20,0.71
F_FL_0_5_0_CI_NamedEntity_1_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,96,43,0.69
FNF_year_Page,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@be622206baf07945769dc33dcfa889fe,39,19,0.67
I-NER_date,c.w.n.uima.fe.token.IsMiddleOfNamedEntityFE@0f92027ddde8bf2e0ca44c9bda0cd281,49,25,0.66
F_PR_0_3_1_F_CI_NamedEntity_1_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,43,26,0.62
F_CI_Line_0_F_C_NamedEntity_2_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,136,85,0.62
F_CI_Line_0_F_C_NamedEntity_4_ElementProperty_mentionType=year,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,142,105,0.57
FNF_month_LayoutBlock,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@55f668c89403ee9394e329e6b571b957,56,42,0.57
F_PR_0_3_0_F_CI_NamedEntity_3_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,45,40,0.53
F_CI_Tag_12_DateTokensCount_2,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.DateTokensCountFE@636ee09f7be1b73735cf833b3bcce1f8,28,25,0.53
F_CI_NamedEntity_0_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@9e74914a0a46bac44f257b5d17cb3b4d,115,111,0.51
PCSLCT_Date,c.w.n.u.f.c.c.PreviousCellSameLineCoveredTokensFE@e6bbe91568cedfea37f7e0f97f247e79,11,11,0.50
F_PR_0_3_1_F_CI_NamedEntity_3_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,42,43,0.49
X1x2N3=N2_1N2_1N4,c.w.v.nlp.uima.fe.token.CharPatternX1x2N3FE@edc3d794d97a97942752741fde441ba4,12,13,0.48
LNIFA_date_Page,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@fcab8fd0a1f30560ecebe697a9b086f5,51,57,0.47
tokenOcr_LEFT_0=date,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,20,23,0.47
F_FL_0_5_0_CI_NamedEntity_0_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,105,121,0.46
F_PR_0_3_0_F_CI_NamedEntity_2_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,48,57,0.46
FNF_year_LayoutBlock,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@55f668c89403ee9394e329e6b571b957,73,90,0.45
XxN=N_,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,44,56,0.44
F_CI_Tag_9_DateTokensCount_2,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.DateTokensCountFE@636ee09f7be1b73735cf833b3bcce1f8,62,81,0.43
F_PR_0_3_2_F_CI_NamedEntity_0_ElementProperty_mentionType=invoiceNumberMarkerWords,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,37,49,0.43
F_PR_0_3_2_F_CI_NamedEntity_0_ElementProperty_mentionType=phone,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,28,38,0.42
B-NER_date,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,75,105,0.42
F_PR_0_3_0_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,57,82,0.41
E-NER_date,c.w.nlp.uima.fe.token.IsEndOfNamedEntityFE@5a4278d197b3e3d68cee0520f9545c4e,74,108,0.41
F_PR_0_3_1_F_CI_NamedEntity_2_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,42,63,0.40
LNIFA_year_Page,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@fcab8fd0a1f30560ecebe697a9b086f5,22,36,0.38
F_CI_Line_0_F_C_NamedEntity_0_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,137,235,0.37
F_CI_Line_0_F_C_NamedEntity_1_ElementProperty_mentionType=month,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,143,256,0.36
F_PR_0_3_0_F_CI_NamedEntity_1_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,49,90,0.35
F_PR_0_3_1_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,48,91,0.35
F_FL_0_3_1_F_CI_NamedEntity_1_ElementProperty_mentionType=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,47,92,0.34
F_CI_Line_0_LNL_2_0_KwrdInAnn_date_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@81b97ac50c75649c7ea9f3d97116cdd8,22,44,0.33
F_PR_0_3_2_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,46,93,0.33
SVInNer_date,c.w.n.uima.fe.token.StringValueInNerTypeFE@f05a37d59dc044e91655a6fd33985f72,19,44,0.30
F_CI_Tag_9_DateTokensCount_1,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.DateTokensCountFE@636ee09f7be1b73735cf833b3bcce1f8,21,59,0.26
