FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
Last_1_Char=v,c.w.nlp.uima.fe.token.LastNCharsFE@65b350cbb661fe2a085881da0f3184a5,B-invoice_number,0.5426
F_FL_0_3_1_special_char=<,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,B-invoice_number,0.4470
Last_1_Char=V,c.w.nlp.uima.fe.token.LastNCharsFE@65b350cbb661fe2a085881da0f3184a5,B-invoice_number,0.4433
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,B-invoice_number,-0.4289
F_PR_0_3_1_ALC_AutoMLToken=m,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,B-invoice_number,0.4083
F_CI_Line_0_LNL_2_0_ALC_AutoMLLine=1,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@564edfe7d3e09967de9e1f01a003f317,B-invoice_number,0.4059
NGW_W2_PR_0_3_0_OOB0=1.0_OOB1=1.0_ALC_AutoMLToken=invoice=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@8fcee2caa73add4d529e98fc271152cb,B-invoice_number,0.3826
PNnECh_1=G,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,B-invoice_number,0.3813
PNnECh_2=NG,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,B-invoice_number,0.3813
FstAdjCapChars=I,c.w.n.u.fe.token.FirstAdjacentCapitalCharsFE@de717057e4d3736189b11ff40196ef5d,B-invoice_number,0.3657
F_PR_0_3_1_ALC_AutoMLToken=1,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,B-invoice_number,0.3521
CAARIPG_16,c.w.n.u.f.c.tokenFEs.ElementValueRepeatedInPageFE@dfe7aebd98f48d04bbb6e11204748bed,B-invoice_number,0.3357
X1xN3=X3,c.w.v.nlp.uima.fe.token.CharPatternX1xN3FE@f578320dc258065cfbe8f395bf853565,B-invoice_number,0.3328
PNnECh_1=J,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,B-invoice_number,0.3187
Xx2N3=Xx2,c.w.v.nlp.uima.fe.token.CharPatternXx2N3FE@279eb293911206bc4aea225744d8f079,B-invoice_number,0.3142
F_PR_0_3_2_ALC_AutoMLToken=1111,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,B-invoice_number,0.3014
Last_2_Char=IP,c.w.nlp.uima.fe.token.LastNCharsFE@a84c869fa3869e3d722299535dd01fb0,B-invoice_number,0.2861
XxN=_,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,B-invoice_number,-0.2725
PNnECh_1=-,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,B-invoice_number,0.2650
PNnECh_1=),c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,B-invoice_number,-0.2630
F_PR_0_3_0_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,B-invoice_number,-0.2591
posIn_Token_LayoutBlock_2,c.w.v.s.nlp.component.fe.PositionInCoveringFE@89aaa76fc4fbae2aa21f25bd9ca3c5a1,B-invoice_number,-0.2530
F_FL_0_3_1_ALC_AutoMLToken=11111,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,B-invoice_number,0.2470
F_FL_0_3_0_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,B-invoice_number,0.2468
F_FL_0_3_2_special_char=<,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,B-invoice_number,0.2453
Last_1_Char=P,c.w.nlp.uima.fe.token.LastNCharsFE@65b350cbb661fe2a085881da0f3184a5,B-invoice_number,0.2422
F_FL_0_3_1_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,B-invoice_number,0.2275
Xx2N3_N4,c.w.n.uima.fe.cell.tokenFEs.CellTokenXx2N3FE@3bfb42620444ede9c2fbcdeee8ee6156,B-invoice_number,0.2195
XxN_Xx,c.w.n.uima.fe.cell.tokenFEs.CellTokenXxNFE@e791a11e0582ad6b4ffbc8752ade6e34,B-invoice_number,-0.2164
tokenOcr_LEFT_1=invoice,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,B-invoice_number,0.2161
F_FL_0_5_3_CI_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,B-invoice_number,-0.2028
posIn_Cell_Row_3,c.w.v.s.nlp.component.fe.PositionInCoveringFE@b3485cbedd9763bfe5148a61b8906bb9,B-invoice_number,0.1980
F_FL_0_3_2_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,B-invoice_number,0.1977
PNnECh_1=#,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,B-invoice_number,0.1973
isLetter,c.w.n.uima.fe.token.IsFirstCharacterLetterFE@c88adedfcd95c1ac9aafabb9272e8f69,B-invoice_number,-0.1907
X1xN3=N2,c.w.v.nlp.uima.fe.token.CharPatternX1xN3FE@f578320dc258065cfbe8f395bf853565,B-invoice_number,0.1815
FstAdjCapChars=C,c.w.n.u.fe.token.FirstAdjacentCapitalCharsFE@de717057e4d3736189b11ff40196ef5d,B-invoice_number,-0.1800
tokenOcr_LEFT_0=no,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,B-invoice_number,0.1795
F_FL_0_3_1_ALC_AutoMLToken=street,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,B-invoice_number,-0.1794
pageNumber_0,c.w.nlp.uima.fe.onlinemodel.PageNumberFE@a5f664891dbaefad0b92e25676237a7a,B-invoice_number,-0.1684
cell_size=many,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,B-invoice_number,-0.1684
