FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
F_PR_0_3_2_ALC_AutoMLToken=m,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,E-invoice_number,0.6277
"F_FL_0_3_2_special_char=,",c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-invoice_number,0.5212
isLetter,c.w.n.uima.fe.token.IsFirstCharacterLetterFE@c88adedfcd95c1ac9aafabb9272e8f69,E-invoice_number,-0.4762
PNnECh_1=#,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,E-invoice_number,0.4262
F_FL_0_3_1_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-invoice_number,0.4132
PNnECh_1=/,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,E-invoice_number,0.4095
X1x2N3=N5,c.w.v.nlp.uima.fe.token.CharPatternX1x2N3FE@edc3d794d97a97942752741fde441ba4,E-invoice_number,0.4046
F_FL_0_3_2_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,E-invoice_number,0.3668
F_FL_0_3_0_ALC_AutoMLToken=date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,E-invoice_number,0.3657
F_PR_0_3_0_ALC_AutoMLToken=invoice,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,E-invoice_number,-0.3654
F_PR_0_3_2_ALC_AutoMLToken=no,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,E-invoice_number,0.3643
Is1stInFocus_AutoMLToken_Line,c.w.n.u.f.cell.tokenFEs.IsFirstElementInFocusFE@028cde2875c616cc276cf06e1294bda0,E-invoice_number,-0.3575
F_PR_0_3_0_ALC_AutoMLToken=11111,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,E-invoice_number,0.3568
F_PR_0_3_0_ALC_AutoMLToken=1111,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,E-invoice_number,0.3374
F_FL_0_3_0_special_char=<,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-invoice_number,0.3290
F_FL_0_3_2_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-invoice_number,-0.3220
F_FL_0_3_2_ALC_AutoMLToken=this,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,E-invoice_number,0.3164
