FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
PNnECh_1=^,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,I-invoice_number,0.3779
F_PR_0_3_1_ALC_AutoMLToken=11,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,I-invoice_number,0.3037
F_FL_0_3_2_ALC_AutoMLToken=order,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,I-invoice_number,0.2830
isLetter,c.w.n.uima.fe.token.IsFirstCharacterLetterFE@c88adedfcd95c1ac9aafabb9272e8f69,I-invoice_number,-0.2829
tokenOcr_LEFT_2=invoice,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,I-invoice_number,0.2736
F_PR_0_3_2_ALC_AutoMLToken=invoice,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,I-invoice_number,0.2733
tokenOcr_LEFT_0=invoice,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,I-invoice_number,0.2720
Xx2N3_N4,c.w.n.uima.fe.cell.tokenFEs.CellTokenXx2N3FE@3bfb42620444ede9c2fbcdeee8ee6156,I-invoice_number,0.2669
F_FL_0_5_1_CI_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,I-invoice_number,-0.2597
X1xN3=N2,c.w.v.nlp.uima.fe.token.CharPatternX1xN3FE@f578320dc258065cfbe8f395bf853565,I-invoice_number,-0.2468
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,I-invoice_number,-0.2444
Last_1_Char=L,c.w.nlp.uima.fe.token.LastNCharsFE@65b350cbb661fe2a085881da0f3184a5,I-invoice_number,0.2358
