FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
ChSepPtn_-=3-4,c.w.n.u.fe.cell.charFEs.CharSeparatorPatternFE@acd61d88757c2f8d3d4fbf3e90cb0edb,S-invoice_number,1.1109
tokenOcr_LEFT_0=invoice,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,S-invoice_number,0.8335
Last_2_Char=CA,c.w.nlp.uima.fe.token.LastNCharsFE@a84c869fa3869e3d722299535dd01fb0,S-invoice_number,0.7292
tokenOcr_LEFT_0=number,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,S-invoice_number,0.7197
F_PR_0_3_0_special_char=&,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,S-invoice_number,0.7197
F_FL_0_3_2_ALC_AutoMLToken=11,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,S-invoice_number,0.7128
F_PR_0_3_0_ALC_AutoMLToken=invoice,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,S-invoice_number,0.6759
PNnECh_2=ew,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,S-invoice_number,0.6469
PNnECh_1=w,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,S-invoice_number,0.6463
tokenOcr_LEFT_1=invoice,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,S-invoice_number,0.6361
Xx2N3=N6,c.w.v.nlp.uima.fe.token.CharPatternXx2N3FE@279eb293911206bc4aea225744d8f079,S-invoice_number,0.6329
X1xN3=N2,c.w.v.nlp.uima.fe.token.CharPatternX1xN3FE@f578320dc258065cfbe8f395bf853565,S-invoice_number,-0.6254
F_PR_0_3_1_ALC_AutoMLToken=for,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,S-invoice_number,0.5448
isLetter,c.w.n.uima.fe.token.IsFirstCharacterLetterFE@c88adedfcd95c1ac9aafabb9272e8f69,S-invoice_number,-0.5357
B-NER_supplier_name,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,S-invoice_number,-0.5319
posIn_Token_NamedEntity_2,c.w.v.s.nlp.component.fe.PositionInCoveringFE@9fe31bf63185afd1052980be8b0eca8d,S-invoice_number,0.5302
IsAllTextCapitalizedInCovering_Line,c.w.n.u.f.s.IsAllTextCapitalizedInCoveringFE@19fca9350ddfd1b591b1ee3cd3a1e086,S-invoice_number,0.5079
tokenOcr_RIGHT_1=for,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@77cafaa04e1418d241a1b3b21da37b1e,S-invoice_number,0.5033
PNnECh_2=O.,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,S-invoice_number,0.4993
