FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,E-price,-0.5157
CellRowEmptyCellCount,c.w.n.u.fe.cell.rowFEs.CellRowEmptyCellCountFE@8c21cd563c37bcd4dfd607a4b854212e,E-price,-0.4333
posIn_Token_Line_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,E-price,-0.4007
Is1stInFocus_AutoMLToken_Line,c.w.n.u.f.cell.tokenFEs.IsFirstElementInFocusFE@028cde2875c616cc276cf06e1294bda0,E-price,-0.4007
Is1stInFocus_AutoMLToken_Cell,c.w.n.u.f.cell.tokenFEs.IsFirstElementInFocusFE@772d94c38090fc1a26352f9a1dd2599e,E-price,-0.3974
LeftmostCell_1,c.w.n.uima.fe.onlinemodel.FirstLeftCellFE@cfa4b4e9fb2ab911f16ac8089c15d01f,E-price,0.3774
F_FL_0_3_1_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-price,-0.3206
PNnECh_4=0 00,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@267f399f3dbf3064d6e21ae4dad891ae,E-price,0.3137
price_match_table_column_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@f51373ecfa0a95103aa58bca77b97e8a,E-price,0.3116
F_CI_Cell_0_CNDIR_2_1_0_F_C_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@73bf887c8e79ff62172428e3c9e67644,E-price,0.3113
tokenOcr_RIGHT_2=usd,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@77cafaa04e1418d241a1b3b21da37b1e,E-price,0.3080
FirstTopNonNumberCell_unit_cost,c.w.n.u.f.onlinemodel.NearestTopNonNumberCellFE@b5ea5d89df581005bc685adf519ad27e,E-price,0.3071
NumLineCountInCell,c.w.n.u.f.cell.cellFEs.NumericLineCountInCellFE@6a97a0520ca153f75b6464a56a69449f,E-price,0.2874
ColHead_unit_price,c.w.nlp.uima.fe.onlinemodel.ColumnHeaderFE@472b3ee1a971628102e99e99e834fa4d,E-price,0.2860
FirstTopNonNumberCell_unit_price,c.w.n.u.f.onlinemodel.NearestTopNonNumberCellFE@b5ea5d89df581005bc685adf519ad27e,E-price,0.2858
CAARIC_2,c.w.n.u.f.c.t.CellAnyElementRepeatedInColumnFE@d3972e77127abfec428185c3b2f55da6,E-price,0.2770
FNF_priceWithoutCurrency_Row,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@e936888fa82a2d0393c49fbcf7d16a42,E-price,-0.2649
LNIFA_currencyCode_Row,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@49cd6e5ca05620e8b8ff783e182f6fb0,E-price,-0.2505
F_CI_Line_0_LNL_2_1_KwrdInAnn_$_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@379b7fe3dd4aaf9d7985da467e2faed6,E-price,-0.2312
cell_size=single,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,E-price,-0.2264
B-NER_priceWithoutCurrency,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,E-price,-0.2166
F_CI_Line_0_PR_0_2_1_KwrdInAnn_$_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@37614ce76e5608f34b29c7152ded44a5,E-price,-0.2134
IsDigitGroupInteger,c.w.n.uima.fe.token.IsDigitGroupIntegerFE@026d56d77aa00f31d44b482e30730655,E-price,-0.2127
