FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
covered_with_cell,c.w.a.f.t.IsCoveredWithCellFeatureExtractor@9bb2f562fbe666de7880aa73164d3bd3,B-product,-1.0863
Is1stInFocus_AutoMLToken_Cell,c.w.n.u.f.cell.tokenFEs.IsFirstElementInFocusFE@772d94c38090fc1a26352f9a1dd2599e,B-product,0.9571
pos_in_cell=middle,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,B-product,-0.7761
F_CI_Cell_0_CNFIC_2_0_0_ALC_AutoMLCell=product,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@a1f120fc1e5d8f8bea43b7dedd118a80,B-product,0.6758
ColHead_product,c.w.nlp.uima.fe.onlinemodel.ColumnHeaderFE@472b3ee1a971628102e99e99e834fa4d,B-product,0.5909
IsLastInFocus_Token_Cell,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@720f32402b981c64e1c3f1f50b92076c,B-product,-0.5678
NGW_W2_PR_0_3_1_special_char=$=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,B-product,0.5529
F_CI_Cell_0_CNUNE_2_0_0_ALC_AutoMLCell=description,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d83e0a15ea7ed60dd4ca0e6009c6524c,B-product,0.5385
posIn_Token_Line_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,B-product,0.4985
FirstTopNonNumberCell_description,c.w.n.u.f.onlinemodel.NearestTopNonNumberCellFE@b5ea5d89df581005bc685adf519ad27e,B-product,0.4976
F_CI_Line_0_LNR_2_0_ALC_AutoMLLine=110.00,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@1fa3eff0939e2777b5729dfce9f3aca4,B-product,0.4943
posIn_Token_Line_1,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,B-product,-0.4750
CellColNumToFirstPortion,c.w.n.u.f.c.c.CellColumnNumToFirstPortionFE@293b782b9e282d2d542272b189c6a162,B-product,-0.4740
F_CI_Line_0_LNR_2_1_ALC_AutoMLLine=$110.00,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@1fa3eff0939e2777b5729dfce9f3aca4,B-product,0.4619
F_FL_0_3_1_ALC_AutoMLToken=with,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,B-product,0.4551
product_match_table_column_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@de58bea7da12baadfb3d2a0fd13b58a1,B-product,0.4491
CFRSCCT_Product,c.w.n.u.f.c.r.CellFirstRowSameColumnCoveredTokenFE@2e208bcb3c848af9798234d5659767b9,B-product,0.4436
PNnECh_4=Car,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@267f399f3dbf3064d6e21ae4dad891ae,B-product,0.4424
Xx2N3=N1_1,c.w.v.nlp.uima.fe.token.CharPatternXx2N3FE@279eb293911206bc4aea225744d8f079,B-product,0.4395
