FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
covered_with_cell,c.w.a.f.t.IsCoveredWithCellFeatureExtractor@9bb2f562fbe666de7880aa73164d3bd3,E-product,-0.9492
pos_in_cell=end,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,E-product,0.7058
pos_in_cell=middle,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,E-product,-0.6165
posIn_Token_Line_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,E-product,-0.5832
F_CI_Cell_0_CNFIC_2_0_0_ALC_AutoMLCell=product,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@a1f120fc1e5d8f8bea43b7dedd118a80,E-product,0.5405
IsLastInFocus_Token_Cell,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@720f32402b981c64e1c3f1f50b92076c,E-product,0.5251
F_CI_Line_0_PR_0_2_1_ALC_AutoMLLine=11,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@26031e0075c4a67c647674602c0353b0,E-product,0.5177
CellColNumToFirstPortion,c.w.n.u.f.c.c.CellColumnNumToFirstPortionFE@293b782b9e282d2d542272b189c6a162,E-product,-0.5090
F_FL_0_3_0_ALC_AutoMLToken=$11.00,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,E-product,0.4999
FirstTopNonNumberCell_description,c.w.n.u.f.onlinemodel.NearestTopNonNumberCellFE@b5ea5d89df581005bc685adf519ad27e,E-product,0.4943
ColHead_product,c.w.nlp.uima.fe.onlinemodel.ColumnHeaderFE@472b3ee1a971628102e99e99e834fa4d,E-product,0.4874
product_match_table_column_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@de58bea7da12baadfb3d2a0fd13b58a1,E-product,0.4721
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,E-product,0.4579
