FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
pos_in_cell=middle,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,I-product,1.0049
Is1stInFocus_AutoMLToken_Cell,c.w.n.u.f.cell.tokenFEs.IsFirstElementInFocusFE@772d94c38090fc1a26352f9a1dd2599e,I-product,-0.8708
covered_with_cell,c.w.a.f.t.IsCoveredWithCellFeatureExtractor@9bb2f562fbe666de7880aa73164d3bd3,I-product,-0.7322
posIn_Token_Line_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,I-product,-0.7212
pos_in_cell=end,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,I-product,-0.6375
F_CI_Line_0_FL_0_2_0_ALC_AutoMLLine=$11.00,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@3a344ba06bb337807d886b7843b5c1dc,I-product,0.5755
product_match_table_column_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@de58bea7da12baadfb3d2a0fd13b58a1,I-product,0.5736
Xx2N3_x8_1,c.w.n.uima.fe.cell.tokenFEs.CellTokenXx2N3FE@3bfb42620444ede9c2fbcdeee8ee6156,I-product,0.5690
ColHead_product,c.w.nlp.uima.fe.onlinemodel.ColumnHeaderFE@472b3ee1a971628102e99e99e834fa4d,I-product,0.5679
XxN_X_X_,c.w.n.uima.fe.cell.tokenFEs.CellTokenXxNFE@e791a11e0582ad6b4ffbc8752ade6e34,I-product,0.5469
CFRSCCT_Product,c.w.n.u.f.c.r.CellFirstRowSameColumnCoveredTokenFE@2e208bcb3c848af9798234d5659767b9,I-product,0.5453
F_CI_Cell_0_CNFIC_2_0_0_ALC_AutoMLCell=product,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@a1f120fc1e5d8f8bea43b7dedd118a80,I-product,0.5320
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,I-product,-0.5144
LeftmostCell_vacation_package_to_acapuico_mexico,c.w.n.uima.fe.onlinemodel.FirstLeftCellFE@cfa4b4e9fb2ab911f16ac8089c15d01f,I-product,0.5051
CellColNumToFirstPortion,c.w.n.u.f.c.c.CellColumnNumToFirstPortionFE@293b782b9e282d2d542272b189c6a162,I-product,-0.5040
