FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
covered_with_cell,c.w.a.f.t.IsCoveredWithCellFeatureExtractor@9bb2f562fbe666de7880aa73164d3bd3,S-product,-0.7848
product_match_table_column_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@de58bea7da12baadfb3d2a0fd13b58a1,S-product,0.5945
cell_size=many,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,S-product,-0.4527
PNnECh_2=ve,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,S-product,0.4240
F_FL_0_3_1_ALC_AutoMLToken=email,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,S-product,0.4201
F_PR_0_3_2_ALC_AutoMLToken=rate,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,S-product,0.4194
LastTokenInCell=Development,c.w.n.uima.fe.cell.tokenFEs.CellLastTokenFE@a08f105f3f0ae58b681892c7780a967e,S-product,0.4071
F_CI_Line_0_LNR_2_1_ALC_AutoMLLine=1.00,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@1fa3eff0939e2777b5729dfce9f3aca4,S-product,0.3834
Last_2_Char=ls,c.w.nlp.uima.fe.token.LastNCharsFE@a84c869fa3869e3d722299535dd01fb0,S-product,0.3789
F_PR_0_3_1_ALC_AutoMLToken=11101,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,S-product,0.3711
F_CI_Line_0_LNR_2_0_ALC_AutoMLLine=1,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@1fa3eff0939e2777b5729dfce9f3aca4,S-product,0.3570
F_FL_0_3_2_ALC_AutoMLToken=^,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,S-product,0.3374
