FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
covered_with_cell,c.w.a.f.t.IsCoveredWithCellFeatureExtractor@9bb2f562fbe666de7880aa73164d3bd3,I-quantity,-0.4973
CAARIC_/,c.w.n.u.f.c.t.CellAnyElementRepeatedInColumnFE@d3972e77127abfec428185c3b2f55da6,I-quantity,0.4075
tokenOcr_RIGHT_0=/,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@77cafaa04e1418d241a1b3b21da37b1e,I-quantity,0.1809
pos_in_cell=end,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,I-quantity,-0.1735
pos_in_cell=middle,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,I-quantity,0.1734
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,I-quantity,-0.1733
IsLastInFocus_Token_Cell,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@720f32402b981c64e1c3f1f50b92076c,I-quantity,-0.1732
NGW_W2_PR_0_3_1_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,I-quantity,0.1242
CX1x1N1PDTOCISC,c.w.n.u.f.c.c.CellX1x1N1PatternDifferentThanOtherCellsInSameColumnFE@05db010c2423cce8e041b3f0fdc58638,I-quantity,-0.1216
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,I-quantity,-0.1144
F_PR_0_3_2_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,I-quantity,-0.1143
NGW_W2_PR_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,I-quantity,0.1136
FrstTknCptl,c.w.n.u.f.c.t.CellTypeFirstTokenCapitalizedFE@9ecda532199d7a41cdc6ca8c78bfe2ab,I-quantity,-0.0913
cell_size=many,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,I-quantity,-0.0857
F_PR_0_3_1_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,I-quantity,-0.0769
F_FL_0_3_0_special_char=/,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,I-quantity,0.0742
NGW_W2_PR_0_3_1_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,I-quantity,-0.0739
PNnECh_2=/,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,I-quantity,-0.0684
PNnECh_1=/,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,I-quantity,-0.0684
