FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
NumLineCountInCell,c.w.n.u.f.cell.cellFEs.NumericLineCountInCellFE@6a97a0520ca153f75b6464a56a69449f,S-quantity,1.6343
F_CI_Cell_0_F_CI_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,S-quantity,1.1734
ClClmnKwrd_qty,c.w.n.u.fe.cell.columnFEs.CellColumnKeywordFE@c94c80a11f6da481d3fdaa9bfe8cbaf6,S-quantity,1.0683
covered_with_cell,c.w.a.f.t.IsCoveredWithCellFeatureExtractor@9bb2f562fbe666de7880aa73164d3bd3,S-quantity,-0.8154
SLKM_PLayoutBlock_qty,c.w.v.s.n.c.f.PreviousElementSameLineKeywordsMatchFE@789f9ccfd447d4299ecc9990be01e213,S-quantity,0.8122
ClClmnKwrd_amount,c.w.n.u.fe.cell.columnFEs.CellColumnKeywordFE@c94c80a11f6da481d3fdaa9bfe8cbaf6,S-quantity,-0.7523
F_CI_Line_0_LNR_2_1_KwrdInAnn_$_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@8a1c521f8f900bed9d0fbda9408203cc,S-quantity,0.6888
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,S-quantity,-0.6744
PNnECh_2=ty,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,S-quantity,0.6526
ClClmnKwrd_quantity,c.w.n.u.fe.cell.columnFEs.CellColumnKeywordFE@c94c80a11f6da481d3fdaa9bfe8cbaf6,S-quantity,0.6271
IsDigitGroupInteger,c.w.n.uima.fe.token.IsDigitGroupIntegerFE@026d56d77aa00f31d44b482e30730655,S-quantity,0.6208
CFRSCCT_mff/^T'-scr,c.w.n.u.f.c.r.CellFirstRowSameColumnCoveredTokenFE@2e208bcb3c848af9798234d5659767b9,S-quantity,0.5915
CptlCll,c.w.n.u.f.c.typeFEs.CellTypeCapitalizationOnlyFE@3cafa0f28420adc0cd515661380f4525,S-quantity,-0.5860
F_PR_0_3_0_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,S-quantity,0.5782
LeftmostCell_10012011,c.w.n.uima.fe.onlinemodel.FirstLeftCellFE@cfa4b4e9fb2ab911f16ac8089c15d01f,S-quantity,0.5781
cell_size=many,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,S-quantity,-0.5739
F_CI_Line_0_PR_0_2_1_KwrdInAnn_total_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@37614ce76e5608f34b29c7152ded44a5,S-quantity,-0.5396
F_CI_Cell_0_F_C_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,S-quantity,-0.5214
posIn_Cell_Row_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@b3485cbedd9763bfe5148a61b8906bb9,S-quantity,-0.4828
PNnECh_1=L,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,S-quantity,0.4624
special_char=[,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,S-quantity,0.4439
F_CI_Line_0_LNL_2_1_KwrdInAnn_invoice_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@379b7fe3dd4aaf9d7985da467e2faed6,S-quantity,0.4339
PNnECh_1=.,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,S-quantity,-0.4330
special_char=—,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,S-quantity,0.4293
FirstTopNonNumberCell_rate,c.w.n.u.f.onlinemodel.NearestTopNonNumberCellFE@b5ea5d89df581005bc685adf519ad27e,S-quantity,-0.4238
pos_in_cell=middle,c.w.v.n.u.f.sentence.position.PositionInCoveringFE@81ed0ed1544708a2f3037d0d224ad0d4,S-quantity,0.4198
ColHead_,c.w.nlp.uima.fe.onlinemodel.ColumnHeaderFE@472b3ee1a971628102e99e99e834fa4d,S-quantity,-0.4170
quantity_match_table_column_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@9bb11b11e8a0bcdd4a5a6aa9a7745c76,S-quantity,0.4111
NGW_W2_PR_0_3_0_F_CI_NamedEntity_2_ElementProperty_mentionType=companySuffix=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=supplier_name=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,S-quantity,0.4069
F_CI_Line_0_LNR_2_0_KwrdInAnn_invoice_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@8a1c521f8f900bed9d0fbda9408203cc,S-quantity,0.4055
NGW_W3_PR_0_3_0_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@038141d1376200adf1430d793ca03bda,S-quantity,0.3936
F_CI_Line_0_FL_0_2_0_KwrdInAnn_$_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@90b22015595da897cb68f0fcb91f50fd,S-quantity,0.3840
LNIFA_priceWithoutCurrency_Content,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@7068311fe4ed0d64fa731e48fa15f97e,S-quantity,0.3765
FrstTknCptl,c.w.n.u.f.c.t.CellTypeFirstTokenCapitalizedFE@9ecda532199d7a41cdc6ca8c78bfe2ab,S-quantity,-0.3730
F_PR_0_3_2_special_char=—,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,S-quantity,0.3721
F_FL_0_5_0_CI_NamedEntity_0_ElementProperty_mentionType=price,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-quantity,-0.3689
NGW_W2_PR_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,S-quantity,0.3652
FirstTopNonNumberCell_quantity,c.w.n.u.f.onlinemodel.NearestTopNonNumberCellFE@b5ea5d89df581005bc685adf519ad27e,S-quantity,0.3599
EmptyCellCountGreaterEquals_4,c.w.n.u.f.c.c.CellEmptyCellsCountInColumnFE@5bd1f74ff44aac31a4d4ce0350700f4c,S-quantity,0.3555
posIn_Cell_Row_1,c.w.v.s.nlp.component.fe.PositionInCoveringFE@b3485cbedd9763bfe5148a61b8906bb9,S-quantity,0.3519
F_FL_0_3_2_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,S-quantity,0.3510
NGW_W2_PR_0_3_1_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,S-quantity,0.3459
FirstTopNonNumberCell_ouantity,c.w.n.u.f.onlinemodel.NearestTopNonNumberCellFE@b5ea5d89df581005bc685adf519ad27e,S-quantity,0.3434
PNnECh_3=$,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@235443977571d92a55d11a2664dac2db,S-quantity,-0.3405
PNnECh_4=$,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@267f399f3dbf3064d6e21ae4dad891ae,S-quantity,-0.3405
F_CI_Line_0_LNR_2_1_KwrdInAnn_invoice_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@8a1c521f8f900bed9d0fbda9408203cc,S-quantity,0.3402
