FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
F_CI_Line_0_FL_0_2_1_F_C_NamedEntity_0_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,B-supplier_name,-0.9795
is_upper_case_feature,c.w.a.f.g.IsUpperLowerCaseFeatureExtractor@0301db7a0a06e27231d87c25150686d8,B-supplier_name,-0.8625
FNnECh_3=The,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@b01857297af0970395df15ee826894c1,B-supplier_name,0.8066
FNnECh_2=Th,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ad0292892f1e9f76ca12cc494b12c17c,B-supplier_name,0.7705
IsFirstCapitalizedTokenInCovering_Line,c.w.n.u.f.t.IsFirstCapitalizedTokenInCoveringFE@1d05a8d147c98d8553ec57101d07a1d2,B-supplier_name,0.7618
F_CI_Line_0_LNL_2_0_F_C_NamedEntity_0_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@0a85b1d636fa39979776d208c36ff1ac,B-supplier_name,0.7424
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,B-supplier_name,-0.7037
FstAdjCapChars=J,c.w.n.u.fe.token.FirstAdjacentCapitalCharsFE@de717057e4d3736189b11ff40196ef5d,B-supplier_name,0.6485
PNnECh_2=om,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,B-supplier_name,0.6179
E-NER_supplier_name,c.w.nlp.uima.fe.token.IsEndOfNamedEntityFE@5a4278d197b3e3d68cee0520f9545c4e,B-supplier_name,-0.6143
NGW_W9_PR_0_9_0_OOB0=1.0_OOB1=1.0_OOB2=1.0_OOB3=1.0_OOB4=1.0_OOB5=1.0_OOB6=1.0_OOB7=1.0_ALC_AutoMLToken=invoice=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@2a741c9d15600c81d8c23d22a69dc64d,B-supplier_name,0.5921
