FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
is_upper_case_feature,c.w.a.f.g.IsUpperLowerCaseFeatureExtractor@0301db7a0a06e27231d87c25150686d8,E-supplier_name,-1.0366
F_PR_0_3_2_ALC_AutoMLToken=to,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,E-supplier_name,-0.9820
PNnECh_2=ie,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,E-supplier_name,0.8101
PNnECh_2=st,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,E-supplier_name,0.7872
F_CI_Line_0_LNL_2_0_F_C_NamedEntity_0_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@0a85b1d636fa39979776d208c36ff1ac,E-supplier_name,0.7057
FNnECh_1=y,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ab6af2d67d15b5fc3ad85d17835e237d,E-supplier_name,0.6157
FNF_supplier_name_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,E-supplier_name,0.5541
cellNotInHeader,c.w.v.nlp.uima.fe.cell.row.CellNotInHeaderFE@f8447f5c5b9f18deb3ab08fcbe86d130,E-supplier_name,-0.5432
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,E-supplier_name,0.5069
PNnECh_1=D,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,E-supplier_name,0.4948
FNnECh_1=I,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ab6af2d67d15b5fc3ad85d17835e237d,E-supplier_name,0.4937
F_CI_Line_0_PR_0_2_0_F_CI_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@37acdad665256970c0408f8f127b7e9e,E-supplier_name,-0.4902
LNIFA_companySuffix_Content,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@7068311fe4ed0d64fa731e48fa15f97e,E-supplier_name,0.4885
tokenOcr_RIGHT_0=your,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@77cafaa04e1418d241a1b3b21da37b1e,E-supplier_name,0.4815
IsFirstCapitalizedTokenInCovering_Line,c.w.n.u.f.t.IsFirstCapitalizedTokenInCoveringFE@1d05a8d147c98d8553ec57101d07a1d2,E-supplier_name,-0.4787
F_CI_Line_0_PR_0_2_1_KwrdInAnn_pay_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@f0a6517e5e9add3202d330581a402c3a,E-supplier_name,-0.4751
F_CI_Line_0_PR_0_2_0_ALC_AutoMLLine=invoice,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@26031e0075c4a67c647674602c0353b0,E-supplier_name,0.4661
posIn_Token_NamedEntity_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@9fe31bf63185afd1052980be8b0eca8d,E-supplier_name,-0.4521
F_CI_Line_0_FL_0_2_1_F_C_NamedEntity_2_ElementProperty_mentionType=roadName,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,E-supplier_name,0.4447
posIn_Token_Line_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,E-supplier_name,-0.4159
PNnECh_2=ne,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,E-supplier_name,0.4102
F_FL_0_3_1_ALC_AutoMLToken=you,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,E-supplier_name,0.3949
F_CI_Line_0_F_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,E-supplier_name,-0.3914
KwrdInAnn_name_Line,c.w.v.s.n.component.fe.FocusElementKeywordsFE@604eaab4bc97bbb6e6caa447111fe0c5,E-supplier_name,-0.3904
FNnECh_2=Be,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ad0292892f1e9f76ca12cc494b12c17c,E-supplier_name,0.3831
FNnECh_2=Jo,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ad0292892f1e9f76ca12cc494b12c17c,E-supplier_name,0.3811
F_PR_0_3_1_ALC_AutoMLToken=invoice,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,E-supplier_name,0.3774
FNnECh_1=J,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ab6af2d67d15b5fc3ad85d17835e237d,E-supplier_name,0.3769
F_CI_Line_0_PR_0_2_1_ALC_AutoMLLine=bill to,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@26031e0075c4a67c647674602c0353b0,E-supplier_name,-0.3723
F_CI_Line_0_PR_0_2_1_KwrdInAnn_bill to_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@f0a6517e5e9add3202d330581a402c3a,E-supplier_name,-0.3722
FNnECh_1=c,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ab6af2d67d15b5fc3ad85d17835e237d,E-supplier_name,-0.3704
FNnECh_1=L,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ab6af2d67d15b5fc3ad85d17835e237d,E-supplier_name,-0.3646
F_CI_Line_0_PR_0_2_0_F_C_NamedEntity_0_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@37acdad665256970c0408f8f127b7e9e,E-supplier_name,-0.3641
FstAdjCapChars=D,c.w.n.u.fe.token.FirstAdjacentCapitalCharsFE@de717057e4d3736189b11ff40196ef5d,E-supplier_name,-0.3583
F_CI_Line_0_FL_0_2_1_F_C_NamedEntity_0_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,E-supplier_name,-0.3568
F_CI_Line_0_LNL_2_1_F_C_NamedEntity_2_ElementProperty_mentionType=ordinalNumber,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@0a85b1d636fa39979776d208c36ff1ac,E-supplier_name,-0.3561
F_FL_0_3_0_ALC_AutoMLToken=tax,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,E-supplier_name,0.3410
F_FL_0_3_2_ALC_AutoMLToken=you,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,E-supplier_name,0.3366
FNF_supplier_name_Page,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@be622206baf07945769dc33dcfa889fe,E-supplier_name,0.3330
F_CI_Line_0_LNR_2_1_F_C_NamedEntity_2_ElementProperty_mentionType=ordinalNumber,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@5706d1e366c0e11fb33e43ce8804b09e,E-supplier_name,-0.3183
FstAdjCapChars=T,c.w.n.u.fe.token.FirstAdjacentCapitalCharsFE@de717057e4d3736189b11ff40196ef5d,E-supplier_name,0.3136
ALC_AutoMLToken=to,c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@96d34550e1ed6e2f2acaaab30158333e,E-supplier_name,-0.3112
FNnECh_2=PO,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ad0292892f1e9f76ca12cc494b12c17c,E-supplier_name,0.3100
posIn_Token_NamedEntity_5,c.w.v.s.nlp.component.fe.PositionInCoveringFE@9fe31bf63185afd1052980be8b0eca8d,E-supplier_name,-0.2936
F_PR_0_3_0_ALC_AutoMLToken=your,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,E-supplier_name,-0.2933
FNnECh_1=C,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ab6af2d67d15b5fc3ad85d17835e237d,E-supplier_name,-0.2906
F_CI_Line_0_FL_0_2_0_F_C_NamedEntity_2_ElementProperty_mentionType=roadName,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,E-supplier_name,0.2902
F_CI_Line_0_FL_0_2_0_F_C_NamedEntity_0_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,E-supplier_name,-0.2864
F_FL_0_3_2_ALC_AutoMLToken=street,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,E-supplier_name,0.2830
F_CI_Line_0_FL_0_2_0_KwrdInAnn_for_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@972efa8d235f4a55ada519c00ab7d76b,E-supplier_name,-0.2824
