FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
is_upper_case_feature,c.w.a.f.g.IsUpperLowerCaseFeatureExtractor@0301db7a0a06e27231d87c25150686d8,I-supplier_name,-0.7246
FNF_supplier_name_Content,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a4996df86dee6ab6b90dcfe20d837f54,I-supplier_name,0.5798
I-NER_supplier_name,c.w.n.uima.fe.token.IsMiddleOfNamedEntityFE@0f92027ddde8bf2e0ca44c9bda0cd281,I-supplier_name,0.5762
F_CI_Line_0_F_C_NamedEntity_1_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,I-supplier_name,0.5171
F_CI_Line_0_PR_0_2_0_ALC_AutoMLLine=invoice,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@26031e0075c4a67c647674602c0353b0,I-supplier_name,0.5059
F_PR_0_3_1_ALC_AutoMLToken=to,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,I-supplier_name,-0.4300
PNnECh_1=C,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,I-supplier_name,0.4244
F_FL_0_5_3_CI_NamedEntity_2_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,I-supplier_name,0.4226
F_CI_Line_0_FL_0_2_0_F_C_NamedEntity_1_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,I-supplier_name,0.4088
F_CI_Line_0_FL_0_2_1_F_C_NamedEntity_3_ElementProperty_mentionType=ordinalNumber,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,I-supplier_name,-0.4050
F_CI_Line_0_LNL_2_0_F_C_NamedEntity_0_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@0a85b1d636fa39979776d208c36ff1ac,I-supplier_name,0.4007
F_CI_Line_0_F_C_NamedEntity_2_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,I-supplier_name,-0.3946
LNIFA_companySuffix_Content,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@7068311fe4ed0d64fa731e48fa15f97e,I-supplier_name,-0.3921
ALC_AutoMLToken=and,c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@96d34550e1ed6e2f2acaaab30158333e,I-supplier_name,0.3866
F_PR_0_3_2_ALC_AutoMLToken=name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,I-supplier_name,-0.3604
FNnECh_2=Co,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ad0292892f1e9f76ca12cc494b12c17c,I-supplier_name,0.3555
DisToNer_supplier_name,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,I-supplier_name,-0.3555
F_FL_0_3_2_F_CI_NamedEntity_2_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,I-supplier_name,0.3393
F_CI_Line_0_F_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@be2f3084508d2c50c92f6e56e59f6fd3,I-supplier_name,-0.3321
IsFirstCapitalizedTokenInCovering_Cell,c.w.n.u.f.t.IsFirstCapitalizedTokenInCoveringFE@da9cc6122cd438e68fbeac6c28b9e3cc,I-supplier_name,-0.3275
IsFirstCapitalizedTokenInCovering_Line,c.w.n.u.f.t.IsFirstCapitalizedTokenInCoveringFE@1d05a8d147c98d8553ec57101d07a1d2,I-supplier_name,-0.3184
F_CI_Line_0_LNR_2_0_F_C_NamedEntity_4_ElementProperty_mentionType=roadName,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@5706d1e366c0e11fb33e43ce8804b09e,I-supplier_name,0.3113
FNnECh_1=S,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ab6af2d67d15b5fc3ad85d17835e237d,I-supplier_name,0.3081
FNnECh_3=Con,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@b01857297af0970395df15ee826894c1,I-supplier_name,0.3068
IsLstCapTokenInCovering_Line,c.w.n.u.f.t.IsLastCapitalizedTokenInCoveringFE@8b678e47682fe1b21f1ba14aab837d43,I-supplier_name,-0.3037
FNnECh_1=O,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ab6af2d67d15b5fc3ad85d17835e237d,I-supplier_name,0.3020
EmptyLastColumnInRow,c.w.n.u.fe.cell.rowFEs.CellIsLastColumnEmptyFE@f6d22c764cdeaedba761b629d0de1d2a,I-supplier_name,0.3005
F_CI_Line_0_PR_0_2_1_KwrdInAnn_pay_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@f0a6517e5e9add3202d330581a402c3a,I-supplier_name,-0.2969
DisToNer_streetRegexName2,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,I-supplier_name,-0.2952
B-NER_supplier_name,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,I-supplier_name,-0.2926
F_FL_0_3_0_ALC_AutoMLToken=and,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,I-supplier_name,0.2923
F_CI_Line_0_FL_0_2_1_F_C_NamedEntity_0_ElementProperty_mentionType=ordinalNumber,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,I-supplier_name,-0.2907
tokenOcr_RIGHT_1=of,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@77cafaa04e1418d241a1b3b21da37b1e,I-supplier_name,-0.2860
F_FL_0_5_4_CI_NamedEntity_1_ElementProperty_mentionType=ordinalNumber,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,I-supplier_name,-0.2857
F_PR_0_3_0_ALC_AutoMLToken=r,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,I-supplier_name,-0.2855
E-NER_supplier_name,c.w.nlp.uima.fe.token.IsEndOfNamedEntityFE@5a4278d197b3e3d68cee0520f9545c4e,I-supplier_name,-0.2847
F_FL_0_3_1_ALC_AutoMLToken=of,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,I-supplier_name,-0.2832
F_FL_0_5_4_CI_NamedEntity_0_ElementProperty_mentionType=ordinalNumber,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,I-supplier_name,-0.2806
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,I-supplier_name,-0.2796
F_FL_0_3_1_ALC_AutoMLToken=invoice,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,I-supplier_name,0.2795
DisToNer_phone,c.w.n.u.fe.token.DistanceToNearestNerTypeFE@175e94590f3626ef00ad601fa9d90c13,I-supplier_name,-0.2787
F_CI_Line_0_LNR_2_1_F_C_NamedEntity_2_ElementProperty_mentionType=ordinalNumber,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@5706d1e366c0e11fb33e43ce8804b09e,I-supplier_name,-0.2750
FNF_supplier_name_Page,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@be622206baf07945769dc33dcfa889fe,I-supplier_name,0.2660
PNnECh_1=r,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,I-supplier_name,-0.2657
F_CI_Line_0_FL_0_2_0_F_C_NamedEntity_2_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@c2a64d8c6b9d03c9d9fd61c3413e991b,I-supplier_name,0.2608
F_CI_Line_0_LNR_2_1_F_C_NamedEntity_0_ElementProperty_mentionType=ordinalNumber,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@5706d1e366c0e11fb33e43ce8804b09e,I-supplier_name,0.2585
F_FL_0_5_0_CI_NamedEntity_2_ElementProperty_mentionType=ordinalNumber,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,I-supplier_name,-0.2542
cellNotInHeader,c.w.v.nlp.uima.fe.cell.row.CellNotInHeaderFE@f8447f5c5b9f18deb3ab08fcbe86d130,I-supplier_name,-0.2540
FstAdjCapChars=C,c.w.n.u.fe.token.FirstAdjacentCapitalCharsFE@de717057e4d3736189b11ff40196ef5d,I-supplier_name,0.2514
F_FL_0_3_2_ALC_AutoMLToken=invoice,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,I-supplier_name,0.2497
