FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,S-supplier_name,-0.7287
is_upper_case_feature,c.w.a.f.g.IsUpperLowerCaseFeatureExtractor@0301db7a0a06e27231d87c25150686d8,S-supplier_name,-0.6715
FstAdjCapChars=J,c.w.n.u.fe.token.FirstAdjacentCapitalCharsFE@de717057e4d3736189b11ff40196ef5d,S-supplier_name,0.6222
cellNotInHeader,c.w.v.nlp.uima.fe.cell.row.CellNotInHeaderFE@f8447f5c5b9f18deb3ab08fcbe86d130,S-supplier_name,-0.4787
F_FL_0_3_2_ALC_AutoMLToken=for,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,S-supplier_name,0.4427
F_FL_0_5_0_CI_NamedEntity_3_ElementProperty_mentionType=streetRegexName2,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-supplier_name,0.3546
FNnECh_2=Co,c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@ad0292892f1e9f76ca12cc494b12c17c,S-supplier_name,-0.3544
posIn_Token_Line_1,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,S-supplier_name,-0.3470
FstAdjCapChars=L,c.w.n.u.fe.token.FirstAdjacentCapitalCharsFE@de717057e4d3736189b11ff40196ef5d,S-supplier_name,0.3368
F_FL_0_3_1_ALC_AutoMLToken=address,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,S-supplier_name,0.3306
