FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
IsLastInFocus_Token_Line,c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@d9fa09edfcd1b6bf5a8e7b8a6399c0f4,B-total_amount,-0.5317
tokenOcr_LEFT_1=total,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,B-total_amount,0.5239
contains_currency_sign,c.w.a.f.g.IsPrecededWithCurrencySignFeatureExtractor@35ca7d04736ddae450911dea96b3a882,B-total_amount,0.3928
SLKM_PLayoutBlock_$,c.w.v.s.n.c.f.PreviousElementSameLineKeywordsMatchFE@789f9ccfd447d4299ecc9990be01e213,B-total_amount,-0.3816
PNnECh_1=o,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,B-total_amount,0.3191
F_CI_Line_0_KwrdInAnn_total_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@816eaa4ca5503bd407b5150090f1d35e,B-total_amount,-0.2791
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,B-total_amount,-0.2655
"F_PR_0_3_1_special_char=,",c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,B-total_amount,0.2651
PNnECh_1=£,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,B-total_amount,0.2614
PCSLCT_Total,c.w.n.u.f.c.c.PreviousCellSameLineCoveredTokensFE@e6bbe91568cedfea37f7e0f97f247e79,B-total_amount,0.2571
F_PR_0_3_2_SmlKwrds_8_0_total,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.SimilarityToKeywordsFE@384da138e8a5ec8cfbcb0b82f53a4990,B-total_amount,0.2452
"NGW_W2_PR_0_3_1_special_char=,=1.0",c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,B-total_amount,-0.2432
NGW_W3_PR_0_3_0_special_char=.=1.0_special_char=.=1.0_special_char=.=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@1d57c3c5651f0ef5f6e45481fd6320be,B-total_amount,0.2427
F_PR_0_3_0_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,B-total_amount,0.2358
F_CI_Line_0_LNL_2_0_KwrdInAnn_total_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@379b7fe3dd4aaf9d7985da467e2faed6,B-total_amount,0.2341
F_CI_Line_0_LNL_2_0_KwrdInAnn_tota_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@379b7fe3dd4aaf9d7985da467e2faed6,B-total_amount,0.2341
F_CI_Line_0_PR_0_2_1_KwrdInAnn_shipping_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@37614ce76e5608f34b29c7152ded44a5,B-total_amount,-0.2266
"special_char=,",c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,B-total_amount,-0.2258
F_CI_Line_0_LNR_2_0_KwrdInAnn_$_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@8a1c521f8f900bed9d0fbda9408203cc,B-total_amount,-0.2248
F_FL_0_3_1_F_CI_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,B-total_amount,-0.2213
special_char=-,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,B-total_amount,0.2106
CellRowNumToLast,c.w.n.uima.fe.cell.rowFEs.CellRowNumToLastFE@85de53c2f36034b0c5836996490d9801,B-total_amount,-0.2096
F_PR_0_3_0_SmlKwrds_8_0_duer,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.SimilarityToKeywordsFE@384da138e8a5ec8cfbcb0b82f53a4990,B-total_amount,0.2044
posIn_Row_Table_6,c.w.v.s.nlp.component.fe.PositionInCoveringFE@2ce8e54bf289d67b18b5c4141dfb691e,B-total_amount,0.1977
F_FL_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@035b83bbf43e648e42419bd844d84286,B-total_amount,0.1943
NGW_W3_PR_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@038141d1376200adf1430d793ca03bda,B-total_amount,0.1823
"F_PR_0_3_0_special_char=,",c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,B-total_amount,0.1822
F_FL_0_5_3_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,B-total_amount,-0.1812
F_FL_0_5_3_CI_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,B-total_amount,-0.1811
total_amount_match_table_row_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@b86a5605359b1e33c3c28ec0742993db,B-total_amount,0.1801
