FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
LNIFA_priceWithoutCurrency_Content,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@7068311fe4ed0d64fa731e48fa15f97e,E-total_amount,0.6556
posIn_Token_Line_0,c.w.v.s.nlp.component.fe.PositionInCoveringFE@4344423c75b48ca29332d66e4e490e14,E-total_amount,-0.4614
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,E-total_amount,-0.3671
LNIFA_priceWithoutCurrency_LayoutBlock,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@fb4e8d9dbf8464c604ace1c964402e46,E-total_amount,0.3595
tokenOcr_LEFT_2=total,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,E-total_amount,0.3425
SLKM_PLayoutBlock_$,c.w.v.s.n.c.f.PreviousElementSameLineKeywordsMatchFE@789f9ccfd447d4299ecc9990be01e213,E-total_amount,-0.3211
F_FL_0_3_0_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,E-total_amount,-0.3123
tokenOcr_LEFT_0=total,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,E-total_amount,-0.2803
F_PR_0_3_0_special_char=-,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,E-total_amount,0.2418
F_PR_0_3_1_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,E-total_amount,-0.2405
