FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
F_CI_Line_0_LNR_2_0_KwrdInAnn_$_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@8a1c521f8f900bed9d0fbda9408203cc,S-total_amount,-1.6989
tokenOcr_LEFT_0=total,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,S-total_amount,1.2235
F_CI_Line_0_PR_0_2_1_KwrdInAnn_shipping_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@37614ce76e5608f34b29c7152ded44a5,S-total_amount,-1.1976
posIn_Token_LayoutBlock_2,c.w.v.s.nlp.component.fe.PositionInCoveringFE@89aaa76fc4fbae2aa21f25bd9ca3c5a1,S-total_amount,-0.9930
LNIFA_price_Content,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@7068311fe4ed0d64fa731e48fa15f97e,S-total_amount,0.9234
last_cell_in_table,c.w.a.f.t.IsLastCellInTableFeatureExtractor@4b84aae0bb790812fa4388a0f1c838eb,S-total_amount,0.9206
IsNumberIncluded,c.w.v.n.u.f.sentence.position.IsNumberIncludedFE@006f0a3fdaeef2ac4e3b9a1aeeb085b8,S-total_amount,0.8026
PCSLCT_Total,c.w.n.u.f.c.c.PreviousCellSameLineCoveredTokensFE@e6bbe91568cedfea37f7e0f97f247e79,S-total_amount,0.7409
F_CI_Cell_0_CNFIC_2_0_4_KwrdInAnn_tota_Cell,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@afd428b7c47ea33dafdd2f2135853fb7,S-total_amount,-0.7288
FirstTopNonNumberCell_total,c.w.n.u.f.onlinemodel.NearestTopNonNumberCellFE@b5ea5d89df581005bc685adf519ad27e,S-total_amount,-0.6997
PNnECh_1,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,S-total_amount,-0.6860
CFRSCCT_Total,c.w.n.u.f.c.r.CellFirstRowSameColumnCoveredTokenFE@2e208bcb3c848af9798234d5659767b9,S-total_amount,-0.6776
LineSize,c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@2c7dbafbeba4cbea924a1063953be557,S-total_amount,-0.6676
F_CI_Line_0_KwrdInAnn_amount_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@816eaa4ca5503bd407b5150090f1d35e,S-total_amount,0.6670
IsLastNumLineInCell,c.w.n.u.f.cell.lineFEs.IsLastNumericLineInCellFE@cc04e1c133f7cfc2ba63530dd6fe0337,S-total_amount,-0.6537
F_FL_0_3_1_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,S-total_amount,-0.6161
NGW_W2_PR_0_3_1_special_char=.=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,S-total_amount,0.5990
F_CI_Line_0_FL_0_2_0_KwrdInAnn_$_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@90b22015595da897cb68f0fcb91f50fd,S-total_amount,-0.5916
tokenOcr_LEFT_0=due,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,S-total_amount,0.5705
CCNTLt,c.w.n.u.f.cell.columnFEs.CellColumnNumToLastFE@fa66254d2b6d16deeb1452bf075b7855,S-total_amount,-0.5617
special_char=.,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,S-total_amount,0.5535
SLKM_PLayoutBlock_$,c.w.v.s.n.c.f.PreviousElementSameLineKeywordsMatchFE@789f9ccfd447d4299ecc9990be01e213,S-total_amount,0.4991
ILPID,c.w.n.u.f.c.tokenFEs.IsLargestPriceInDocumentFE@d48bd3c01d01c830e8634eee897b2730,S-total_amount,0.4939
posIn_Row_Table_8,c.w.v.s.nlp.component.fe.PositionInCoveringFE@2ce8e54bf289d67b18b5c4141dfb691e,S-total_amount,0.4738
F_PR_0_3_0_special_char=_,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,S-total_amount,0.4679
NGW_W2_PR_0_3_1_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,S-total_amount,-0.4655
posIn_Row_Table_5,c.w.v.s.nlp.component.fe.PositionInCoveringFE@2ce8e54bf289d67b18b5c4141dfb691e,S-total_amount,-0.4605
F_FL_0_3_1_special_char=_,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,S-total_amount,0.4585
NGW_W2_PR_0_3_1_special_char=.=1.0_special_char=.=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,S-total_amount,-0.4539
LNIFA_priceWithoutCurrency_Table,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@339c76c6db2a4ae2ca25135ea064df1a,S-total_amount,0.4539
F_FL_0_5_1_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-total_amount,0.4529
NGW_W2_PR_0_3_1_special_char=(=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,S-total_amount,-0.4519
tokenOcr_LEFT_0=s,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,S-total_amount,0.4263
F_CI_Cell_0_CNUNE_2_1_3_KwrdInAnn_$_Cell,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@44106209059ceab112eaab8807c093f4,S-total_amount,0.4132
tokenOcr_LEFT_2,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,S-total_amount,-0.4081
tokenOcr_LEFT_1=total,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,S-total_amount,0.4059
F_FL_0_5_4_CI_NamedEntity_0_ElementProperty_mentionType=companySuffix,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-total_amount,0.4016
"F_FL_0_3_0_special_char=,",c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,S-total_amount,-0.3985
total_amount_match_table_row_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@b86a5605359b1e33c3c28ec0742993db,S-total_amount,0.3823
"special_char=,",c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,S-total_amount,0.3686
total_amount_match_table_column_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@d950a7ff57bf4a5d01fee338a23923b8,S-total_amount,0.3642
F_FL_0_5_4_CI_NamedEntity_0_ElementProperty_mentionType=invoice_date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-total_amount,-0.3575
