FEATURE_NAME,FEATURE_EXTRACTOR,TP,FP,SCORE
"NGW_W2_PR_0_3_0_special_char=(=1.0_special_char=,=1.0_special_char=.=1.0",c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,29,3,0.91
LNIFA_price_Content,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@7068311fe4ed0d64fa731e48fa15f97e,61,22,0.73
total_amount_match_table_row_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@b86a5605359b1e33c3c28ec0742993db,51,29,0.64
PCSLCT_Total,c.w.n.u.f.c.c.PreviousCellSameLineCoveredTokensFE@e6bbe91568cedfea37f7e0f97f247e79,13,10,0.57
ILPID,c.w.n.u.f.c.tokenFEs.IsLargestPriceInDocumentFE@d48bd3c01d01c830e8634eee897b2730,58,60,0.49
tokenOcr_LEFT_0=total,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,29,49,0.37
tokenOcr_LEFT_1=total,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,6,15,0.29
tokenOcr_LEFT_2=total,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,4,13,0.24
F_CI_Line_0_LNL_2_0_KwrdInAnn_total_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@379b7fe3dd4aaf9d7985da467e2faed6,31,108,0.22
F_CI_Line_0_LNL_2_0_KwrdInAnn_tota_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@379b7fe3dd4aaf9d7985da467e2faed6,31,109,0.22
tokenOcr_LEFT_0=due,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,10,37,0.21
PNnECh_1=£,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,3,16,0.16
NGW_W3_PR_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=invoiceTotalAmountMarkerWords=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=invoiceTotalAmountMarkerWords=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=invoiceTotalAmountMarkerWords=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=invoiceTotalAmountMarkerWords=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@038141d1376200adf1430d793ca03bda,2,13,0.13
F_CI_Line_0_PR_0_2_0_KwrdInAnn_total_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@37614ce76e5608f34b29c7152ded44a5,53,368,0.13
F_CI_Line_0_PR_0_2_0_KwrdInAnn_tota_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@37614ce76e5608f34b29c7152ded44a5,53,369,0.13
tokenOcr_LEFT_1=amount,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,4,28,0.13
F_PR_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=invoiceTotalAmountMarkerWords,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,4,41,0.09
NGW_W3_PR_0_3_0_F_CI_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@038141d1376200adf1430d793ca03bda,2,21,0.09
E-NER_price,c.w.nlp.uima.fe.token.IsEndOfNamedEntityFE@5a4278d197b3e3d68cee0520f9545c4e,64,692,0.08
B-NER_price,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,64,692,0.08
FNF_price_Line,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@27fbe940416e0e83ba7bb931cd40cc3a,64,693,0.08
LNIFA_price_LayoutBlock,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@fb4e8d9dbf8464c604ace1c964402e46,64,693,0.08
NGW_W2_PR_0_3_0_F_CI_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,1,11,0.08
contains_currency_sign,c.w.a.f.g.IsPrecededWithCurrencySignFeatureExtractor@35ca7d04736ddae450911dea96b3a882,68,757,0.08
"special_char=,",c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,50,557,0.08
LNIFA_priceWithoutCurrency_Table,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@339c76c6db2a4ae2ca25135ea064df1a,10,113,0.08
LNIFA_priceWithoutCurrency_Content,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@7068311fe4ed0d64fa731e48fa15f97e,8,92,0.08
F_CI_Cell_0_CNUNE_2_1_3_KwrdInAnn_$_Cell,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@44106209059ceab112eaab8807c093f4,2,28,0.07
ElementPatternCllTpPrc,c.w.nlp.uima.fe.ElementTypeRegexFE@0261385ad8a6c7f4db54e61da3fe5e04,48,674,0.07
NGW_W2_PR_0_3_1_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,5,72,0.06
F_PR_0_3_1_F_CI_NamedEntity_0_ElementProperty_mentionType=price,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,47,693,0.06
"F_PR_0_3_1_special_char=,",c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,38,564,0.06
