CHAIN,CORRECT,TOTAL,ACCURACY
"",44,53,0.8301886792452831
UpperCaseNormalizer,0,53,0.0
LowerCaseNormalizer,44,53,0.8301886792452831
CapitalizeNormalizer,0,53,0.0
PunctuationRemoveNormalizer,0,53,0.0
WhitespaceNormalizer,44,53,0.8301886792452831
DictionaryReplacementNormalizer,44,53,0.8301886792452831
UpperCaseNormalizer->LowerCaseNormalizer,44,53,0.8301886792452831
LowerCaseNormalizer->UpperCaseNormalizer,0,53,0.0
UpperCaseNormalizer->CapitalizeNormalizer,0,53,0.0
CapitalizeNormalizer->UpperCaseNormalizer,0,53,0.0
LowerCaseNormalizer->CapitalizeNormalizer,0,53,0.0
CapitalizeNormalizer->LowerCaseNormalizer,44,53,0.8301886792452831
UpperCaseNormalizer->PunctuationRemoveNormalizer,0,53,0.0
PunctuationRemoveNormalizer->UpperCaseNormalizer,0,53,0.0
LowerCaseNormalizer->PunctuationRemoveNormalizer,0,53,0.0
PunctuationRemoveNormalizer->LowerCaseNormalizer,0,53,0.0
CapitalizeNormalizer->PunctuationRemoveNormalizer,0,53,0.0
PunctuationRemoveNormalizer->CapitalizeNormalizer,0,53,0.0
UpperCaseNormalizer->WhitespaceNormalizer,0,53,0.0
WhitespaceNormalizer->UpperCaseNormalizer,0,53,0.0
LowerCaseNormalizer->WhitespaceNormalizer,44,53,0.8301886792452831
WhitespaceNormalizer->LowerCaseNormalizer,44,53,0.8301886792452831
CapitalizeNormalizer->WhitespaceNormalizer,0,53,0.0
WhitespaceNormalizer->CapitalizeNormalizer,0,53,0.0
PunctuationRemoveNormalizer->WhitespaceNormalizer,0,53,0.0
WhitespaceNormalizer->PunctuationRemoveNormalizer,0,53,0.0
UpperCaseNormalizer->DictionaryReplacementNormalizer,0,53,0.0
DictionaryReplacementNormalizer->UpperCaseNormalizer,0,53,0.0
LowerCaseNormalizer->DictionaryReplacementNormalizer,44,53,0.8301886792452831
DictionaryReplacementNormalizer->LowerCaseNormalizer,44,53,0.8301886792452831
CapitalizeNormalizer->DictionaryReplacementNormalizer,0,53,0.0
DictionaryReplacementNormalizer->CapitalizeNormalizer,0,53,0.0
PunctuationRemoveNormalizer->DictionaryReplacementNormalizer,0,53,0.0
DictionaryReplacementNormalizer->PunctuationRemoveNormalizer,0,53,0.0
WhitespaceNormalizer->DictionaryReplacementNormalizer,44,53,0.8301886792452831
DictionaryReplacementNormalizer->WhitespaceNormalizer,44,53,0.8301886792452831
UpperCaseNormalizer->LowerCaseNormalizer->CapitalizeNormalizer,0,53,0.0
UpperCaseNormalizer->CapitalizeNormalizer->LowerCaseNormalizer,44,53,0.8301886792452831
LowerCaseNormalizer->UpperCaseNormalizer->CapitalizeNormalizer,0,53,0.0
LowerCaseNormalizer->CapitalizeNormalizer->UpperCaseNormalizer,0,53,0.0
CapitalizeNormalizer->LowerCaseNormalizer->UpperCaseNormalizer,0,53,0.0
CapitalizeNormalizer->UpperCaseNormalizer->LowerCaseNormalizer,44,53,0.8301886792452831
UpperCaseNormalizer->LowerCaseNormalizer->PunctuationRemoveNormalizer,0,53,0.0
