CHAIN,CORRECT,TOTAL,ACCURACY
"",84,93,0.9032258064516129
MapDocumentTextToValueNormalizer,91,93,0.978494623655914
UpperCaseNormalizer,83,93,0.8924731182795699
LowerCaseNormalizer,68,93,0.7311827956989247
CapitalizeNormalizer,84,93,0.9032258064516129
PunctuationRemoveNormalizer,77,93,0.8279569892473119
WhitespaceNormalizer,84,93,0.9032258064516129
DictionaryReplacementNormalizer,84,93,0.9032258064516129
MapDocumentTextToValueNormalizer->UpperCaseNormalizer,89,93,0.956989247311828
UpperCaseNormalizer->MapDocumentTextToValueNormalizer,91,93,0.978494623655914
MapDocumentTextToValueNormalizer->LowerCaseNormalizer,72,93,0.7741935483870968
LowerCaseNormalizer->MapDocumentTextToValueNormalizer,91,93,0.978494623655914
UpperCaseNormalizer->LowerCaseNormalizer,68,93,0.7311827956989247
LowerCaseNormalizer->UpperCaseNormalizer,83,93,0.8924731182795699
MapDocumentTextToValueNormalizer->CapitalizeNormalizer,91,93,0.978494623655914
CapitalizeNormalizer->MapDocumentTextToValueNormalizer,91,93,0.978494623655914
UpperCaseNormalizer->CapitalizeNormalizer,83,93,0.8924731182795699
CapitalizeNormalizer->UpperCaseNormalizer,83,93,0.8924731182795699
LowerCaseNormalizer->CapitalizeNormalizer,69,93,0.7419354838709677
CapitalizeNormalizer->LowerCaseNormalizer,68,93,0.7311827956989247
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,83,93,0.8924731182795699
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,90,93,0.967741935483871
UpperCaseNormalizer->PunctuationRemoveNormalizer,76,93,0.8172043010752689
PunctuationRemoveNormalizer->UpperCaseNormalizer,76,93,0.8172043010752689
LowerCaseNormalizer->PunctuationRemoveNormalizer,68,93,0.7311827956989247
PunctuationRemoveNormalizer->LowerCaseNormalizer,68,93,0.7311827956989247
CapitalizeNormalizer->PunctuationRemoveNormalizer,77,93,0.8279569892473119
PunctuationRemoveNormalizer->CapitalizeNormalizer,77,93,0.8279569892473119
MapDocumentTextToValueNormalizer->WhitespaceNormalizer,91,93,0.978494623655914
WhitespaceNormalizer->MapDocumentTextToValueNormalizer,91,93,0.978494623655914
UpperCaseNormalizer->WhitespaceNormalizer,83,93,0.8924731182795699
WhitespaceNormalizer->UpperCaseNormalizer,83,93,0.8924731182795699
LowerCaseNormalizer->WhitespaceNormalizer,68,93,0.7311827956989247
WhitespaceNormalizer->LowerCaseNormalizer,68,93,0.7311827956989247
CapitalizeNormalizer->WhitespaceNormalizer,84,93,0.9032258064516129
WhitespaceNormalizer->CapitalizeNormalizer,84,93,0.9032258064516129
