KEY,VALUE
inv# 06888,Inv#06888
1154404848,1154404848
9082247308,9082247308
16^4^32836^ 3,16432836
2520763010,2520763010
in000001,IN000001
7328351196,7328351196
4949499204,4949499204
6809466842,6809466842
3040,3040
8351143895,8351143895
qet1063,QET1063
1217,1217
2091056108,2091056108
552,552
n964300ca,N964300CA
ppg5304,PPG5304
2345,2345
123456,123456
inv/20131125-01,INV/20131125-01
0001549,0001549
0001,0001
8604,8604
0238885240,0238885240
6594907342,6594907342
a123,A123
6277876898,6277876898
100191,100191
000001,000001
1772306775,1772306775
dev-2852,DEV-2852
19012389,19012389
165b,1658
9765058358,9765058358
49346,49346
9577058119,9577058119
7536317931,7536317931
00235,00235
1c«1,10001
5103866173,5103866173
sip/jul/0457,SIP/JUL/0457
007,007
1549306900,1549306900
11033,11033
inv-000050-2016,INV-000050-2016
7140088368,7140088368
7188263014,7188263014
0007429004,0007429004
0055279390,0055279390
7e5e,7858
21000,21000
yao7789,YAO7789
3425-17630,3425417630
4716164810,4716164810
invi000,INVI000
8225345211,8225345211
174560688,174560688
980201,980201
5734501383,5734501383
6340372376,6340372376
7650961828,7650961828
2827263107,2827263107
inv125,INV125
2049,2049
inv0c09,INV0C09
0462457393,0462457393
1234,1234
inv-0007,INV-0007
0156315916,0156315916
0637809108,0637809108
4276804949,4276804949
4985860019,4985860019
3908661436,3908661436
103001,103001
6065016110,6065016110
28926,28926
1157 c,1157C
67080072,67080072
inv-0042,INV-0042
0530052618,0530052618
100,100
p00,100
101,101
sop-23062015,SOP-23062015
0038,0038
0745199249,0745199249
938346,938346
5748cbeaa3ael75f50f492dl,5748cbeaa3ael75f50f492dl
pak6717,PAB36717
000031,000031
2873872552,2873872552
8309703122,8309703122
0000001,0000001
