CHAIN,CORRECT,TOTAL,ACCURACY
"",252,356,0.7078651685393258
CurrencyRemoveNormalizer,310,356,0.8707865168539326
AmountFormatNormalizer,337,356,0.9466292134831461
DecimalNumberFormatNormalizer,251,356,0.7050561797752809
WhitespaceRemoveNormalizer,252,356,0.7078651685393258
DictionaryReplacementNormalizer,252,356,0.7078651685393258
CurrencyRemoveNormalizer->AmountFormatNormalizer,337,356,0.9466292134831461
AmountFormatNormalizer->CurrencyRemoveNormalizer,337,356,0.9466292134831461
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,323,356,0.9073033707865169
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,309,356,0.8679775280898876
AmountFormatNormalizer->DecimalNumberFormatNormalizer,337,356,0.9466292134831461
DecimalNumberFormatNormalizer->AmountFormatNormalizer,336,356,0.9438202247191011
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,310,356,0.8707865168539326
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,310,356,0.8707865168539326
AmountFormatNormalizer->WhitespaceRemoveNormalizer,337,356,0.9466292134831461
WhitespaceRemoveNormalizer->AmountFormatNormalizer,331,356,0.9297752808988764
DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,251,356,0.7050561797752809
WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,251,356,0.7050561797752809
CurrencyRemoveNormalizer->DictionaryReplacementNormalizer,310,356,0.8707865168539326
DictionaryReplacementNormalizer->CurrencyRemoveNormalizer,310,356,0.8707865168539326
AmountFormatNormalizer->DictionaryReplacementNormalizer,337,356,0.9466292134831461
DictionaryReplacementNormalizer->AmountFormatNormalizer,337,356,0.9466292134831461
DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer,251,356,0.7050561797752809
DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer,251,356,0.7050561797752809
WhitespaceRemoveNormalizer->DictionaryReplacementNormalizer,252,356,0.7078651685393258
DictionaryReplacementNormalizer->WhitespaceRemoveNormalizer,252,356,0.7078651685393258
CurrencyRemoveNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer,337,356,0.9466292134831461
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer,336,356,0.9438202247191011
AmountFormatNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,337,356,0.9466292134831461
AmountFormatNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,337,356,0.9466292134831461
DecimalNumberFormatNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer,336,356,0.9438202247191011
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer,336,356,0.9438202247191011
CurrencyRemoveNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer,337,356,0.9466292134831461
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->AmountFormatNormalizer,331,356,0.9297752808988764
AmountFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,337,356,0.9466292134831461
AmountFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,337,356,0.9466292134831461
WhitespaceRemoveNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer,331,356,0.9297752808988764
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer,331,356,0.9297752808988764
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,323,356,0.9073033707865169
