CHAIN,CORRECT,TOTAL,ACCURACY
"",324,359,0.9025069637883009
MapDocumentTextToValueNormalizer,326,359,0.9080779944289693
UpperCaseNormalizer,10,359,0.027855153203342618
LowerCaseNormalizer,5,359,0.013927576601671309
CapitalizeNormalizer,271,359,0.754874651810585
PunctuationRemoveNormalizer,277,359,0.7715877437325905
WhitespaceNormalizer,344,359,0.958217270194986
DictionaryReplacementNormalizer,324,359,0.9025069637883009
MapDocumentTextToValueNormalizer->UpperCaseNormalizer,9,359,0.025069637883008356
UpperCaseNormalizer->MapDocumentTextToValueNormalizer,326,359,0.9080779944289693
MapDocumentTextToValueNormalizer->LowerCaseNormalizer,5,359,0.013927576601671309
LowerCaseNormalizer->MapDocumentTextToValueNormalizer,326,359,0.9080779944289693
UpperCaseNormalizer->LowerCaseNormalizer,5,359,0.013927576601671309
LowerCaseNormalizer->UpperCaseNormalizer,10,359,0.027855153203342618
MapDocumentTextToValueNormalizer->CapitalizeNormalizer,262,359,0.7298050139275766
CapitalizeNormalizer->MapDocumentTextToValueNormalizer,326,359,0.9080779944289693
UpperCaseNormalizer->CapitalizeNormalizer,10,359,0.027855153203342618
CapitalizeNormalizer->UpperCaseNormalizer,10,359,0.027855153203342618
LowerCaseNormalizer->CapitalizeNormalizer,246,359,0.6852367688022284
CapitalizeNormalizer->LowerCaseNormalizer,5,359,0.013927576601671309
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,272,359,0.7576601671309192
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,323,359,0.8997214484679665
UpperCaseNormalizer->PunctuationRemoveNormalizer,10,359,0.027855153203342618
PunctuationRemoveNormalizer->UpperCaseNormalizer,10,359,0.027855153203342618
LowerCaseNormalizer->PunctuationRemoveNormalizer,4,359,0.011142061281337047
PunctuationRemoveNormalizer->LowerCaseNormalizer,4,359,0.011142061281337047
CapitalizeNormalizer->PunctuationRemoveNormalizer,247,359,0.6880222841225627
PunctuationRemoveNormalizer->CapitalizeNormalizer,247,359,0.6880222841225627
MapDocumentTextToValueNormalizer->WhitespaceNormalizer,326,359,0.9080779944289693
WhitespaceNormalizer->MapDocumentTextToValueNormalizer,326,359,0.9080779944289693
UpperCaseNormalizer->WhitespaceNormalizer,11,359,0.03064066852367688
WhitespaceNormalizer->UpperCaseNormalizer,11,359,0.03064066852367688
LowerCaseNormalizer->WhitespaceNormalizer,5,359,0.013927576601671309
WhitespaceNormalizer->LowerCaseNormalizer,5,359,0.013927576601671309
CapitalizeNormalizer->WhitespaceNormalizer,279,359,0.7771587743732591
WhitespaceNormalizer->CapitalizeNormalizer,279,359,0.7771587743732591
PunctuationRemoveNormalizer->WhitespaceNormalizer,283,359,0.7883008356545961
WhitespaceNormalizer->PunctuationRemoveNormalizer,283,359,0.7883008356545961
