CHAIN,CORRECT,TOTAL,ACCURACY
"",6,328,0.018292682926829267
CurrencyRemoveNormalizer,6,328,0.018292682926829267
AmountFormatNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer,303,328,0.9237804878048781
WhitespaceRemoveNormalizer,6,328,0.018292682926829267
DictionaryReplacementNormalizer,6,328,0.018292682926829267
CurrencyRemoveNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->CurrencyRemoveNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,303,328,0.9237804878048781
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,303,328,0.9237804878048781
AmountFormatNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,6,328,0.018292682926829267
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,6,328,0.018292682926829267
AmountFormatNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
WhitespaceRemoveNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,303,328,0.9237804878048781
WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,303,328,0.9237804878048781
CurrencyRemoveNormalizer->DictionaryReplacementNormalizer,6,328,0.018292682926829267
DictionaryReplacementNormalizer->CurrencyRemoveNormalizer,6,328,0.018292682926829267
AmountFormatNormalizer->DictionaryReplacementNormalizer,314,328,0.9573170731707317
DictionaryReplacementNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer,303,328,0.9237804878048781
DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer,303,328,0.9237804878048781
WhitespaceRemoveNormalizer->DictionaryReplacementNormalizer,6,328,0.018292682926829267
DictionaryReplacementNormalizer->WhitespaceRemoveNormalizer,6,328,0.018292682926829267
CurrencyRemoveNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,314,328,0.9573170731707317
WhitespaceRemoveNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer,314,328,0.9573170731707317
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,303,328,0.9237804878048781
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,303,328,0.9237804878048781
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,303,328,0.9237804878048781
DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,303,328,0.9237804878048781
WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,303,328,0.9237804878048781
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,303,328,0.9237804878048781
AmountFormatNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
WhitespaceRemoveNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->AmountFormatNormalizer->DictionaryReplacementNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->DictionaryReplacementNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->CurrencyRemoveNormalizer->DictionaryReplacementNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->DictionaryReplacementNormalizer->CurrencyRemoveNormalizer,314,328,0.9573170731707317
DictionaryReplacementNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer,314,328,0.9573170731707317
DictionaryReplacementNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer,303,328,0.9237804878048781
CurrencyRemoveNormalizer->DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer,303,328,0.9237804878048781
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->DictionaryReplacementNormalizer,303,328,0.9237804878048781
DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer->CurrencyRemoveNormalizer,303,328,0.9237804878048781
DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,303,328,0.9237804878048781
DictionaryReplacementNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,303,328,0.9237804878048781
AmountFormatNormalizer->DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->AmountFormatNormalizer->DictionaryReplacementNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
DictionaryReplacementNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->DictionaryReplacementNormalizer,6,328,0.018292682926829267
CurrencyRemoveNormalizer->DictionaryReplacementNormalizer->WhitespaceRemoveNormalizer,6,328,0.018292682926829267
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->DictionaryReplacementNormalizer,6,328,0.018292682926829267
WhitespaceRemoveNormalizer->DictionaryReplacementNormalizer->CurrencyRemoveNormalizer,6,328,0.018292682926829267
DictionaryReplacementNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,6,328,0.018292682926829267
DictionaryReplacementNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,6,328,0.018292682926829267
AmountFormatNormalizer->WhitespaceRemoveNormalizer->DictionaryReplacementNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->DictionaryReplacementNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
WhitespaceRemoveNormalizer->AmountFormatNormalizer->DictionaryReplacementNormalizer,314,328,0.9573170731707317
WhitespaceRemoveNormalizer->DictionaryReplacementNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
DictionaryReplacementNormalizer->WhitespaceRemoveNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
DictionaryReplacementNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer->DictionaryReplacementNormalizer,303,328,0.9237804878048781
DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer->WhitespaceRemoveNormalizer,303,328,0.9237804878048781
WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer,303,328,0.9237804878048781
WhitespaceRemoveNormalizer->DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer,303,328,0.9237804878048781
DictionaryReplacementNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,303,328,0.9237804878048781
DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,303,328,0.9237804878048781
CurrencyRemoveNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer,314,328,0.9573170731707317
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,314,328,0.9573170731707317
AmountFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,314,328,0.9573170731707317
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer,314,328,0.9573170731707317
