CHAIN,CORRECT,TOTAL,ACCURACY
"",79,89,0.8876404494382022
MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
UpperCaseNormalizer,5,89,0.056179775280898875
LowerCaseNormalizer,0,89,0.0
CapitalizeNormalizer,65,89,0.7303370786516854
PunctuationRemoveNormalizer,48,89,0.5393258426966292
WhitespaceNormalizer,79,89,0.8876404494382022
DictionaryReplacementNormalizer,79,89,0.8876404494382022
MapDocumentTextToValueNormalizer->UpperCaseNormalizer,6,89,0.06741573033707865
UpperCaseNormalizer->MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
MapDocumentTextToValueNormalizer->LowerCaseNormalizer,0,89,0.0
LowerCaseNormalizer->MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
UpperCaseNormalizer->LowerCaseNormalizer,0,89,0.0
LowerCaseNormalizer->UpperCaseNormalizer,5,89,0.056179775280898875
MapDocumentTextToValueNormalizer->CapitalizeNormalizer,71,89,0.797752808988764
CapitalizeNormalizer->MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
UpperCaseNormalizer->CapitalizeNormalizer,5,89,0.056179775280898875
CapitalizeNormalizer->UpperCaseNormalizer,5,89,0.056179775280898875
LowerCaseNormalizer->CapitalizeNormalizer,37,89,0.4157303370786517
CapitalizeNormalizer->LowerCaseNormalizer,0,89,0.0
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,51,89,0.5730337078651685
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,85,89,0.9550561797752809
UpperCaseNormalizer->PunctuationRemoveNormalizer,4,89,0.0449438202247191
PunctuationRemoveNormalizer->UpperCaseNormalizer,4,89,0.0449438202247191
LowerCaseNormalizer->PunctuationRemoveNormalizer,0,89,0.0
PunctuationRemoveNormalizer->LowerCaseNormalizer,0,89,0.0
CapitalizeNormalizer->PunctuationRemoveNormalizer,44,89,0.4943820224719101
PunctuationRemoveNormalizer->CapitalizeNormalizer,44,89,0.4943820224719101
MapDocumentTextToValueNormalizer->WhitespaceNormalizer,87,89,0.9775280898876404
WhitespaceNormalizer->MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
