CHAIN,CORRECT,TOTAL,ACCURACY
"",25,94,0.26595744680851063
CurrencyRemoveNormalizer,25,94,0.26595744680851063
AmountFormatNormalizer,86,94,0.9148936170212766
DecimalNumberFormatNormalizer,32,94,0.3404255319148936
WhitespaceRemoveNormalizer,25,94,0.26595744680851063
DictionaryReplacementNormalizer,25,94,0.26595744680851063
CurrencyRemoveNormalizer->AmountFormatNormalizer,86,94,0.9148936170212766
AmountFormatNormalizer->CurrencyRemoveNormalizer,86,94,0.9148936170212766
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,32,94,0.3404255319148936
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,32,94,0.3404255319148936
AmountFormatNormalizer->DecimalNumberFormatNormalizer,86,94,0.9148936170212766
DecimalNumberFormatNormalizer->AmountFormatNormalizer,86,94,0.9148936170212766
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,25,94,0.26595744680851063
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,25,94,0.26595744680851063
AmountFormatNormalizer->WhitespaceRemoveNormalizer,86,94,0.9148936170212766
WhitespaceRemoveNormalizer->AmountFormatNormalizer,83,94,0.8829787234042553
DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,32,94,0.3404255319148936
WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,32,94,0.3404255319148936
CurrencyRemoveNormalizer->DictionaryReplacementNormalizer,25,94,0.26595744680851063
DictionaryReplacementNormalizer->CurrencyRemoveNormalizer,25,94,0.26595744680851063
AmountFormatNormalizer->DictionaryReplacementNormalizer,86,94,0.9148936170212766
DictionaryReplacementNormalizer->AmountFormatNormalizer,87,94,0.925531914893617
DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer,32,94,0.3404255319148936
DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer,33,94,0.35106382978723405
WhitespaceRemoveNormalizer->DictionaryReplacementNormalizer,25,94,0.26595744680851063
DictionaryReplacementNormalizer->WhitespaceRemoveNormalizer,25,94,0.26595744680851063
CurrencyRemoveNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer,86,94,0.9148936170212766
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer,86,94,0.9148936170212766
AmountFormatNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,86,94,0.9148936170212766
AmountFormatNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,86,94,0.9148936170212766
DecimalNumberFormatNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer,86,94,0.9148936170212766
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer,86,94,0.9148936170212766
CurrencyRemoveNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer,86,94,0.9148936170212766
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->AmountFormatNormalizer,83,94,0.8829787234042553
AmountFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,86,94,0.9148936170212766
AmountFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,86,94,0.9148936170212766
WhitespaceRemoveNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer,83,94,0.8829787234042553
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer,83,94,0.8829787234042553
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,32,94,0.3404255319148936
CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,32,94,0.3404255319148936
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,32,94,0.3404255319148936
DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,32,94,0.3404255319148936
WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,32,94,0.3404255319148936
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,32,94,0.3404255319148936
AmountFormatNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer,86,94,0.9148936170212766
AmountFormatNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,86,94,0.9148936170212766
DecimalNumberFormatNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer,86,94,0.9148936170212766
DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer->AmountFormatNormalizer,83,94,0.8829787234042553
WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer,83,94,0.8829787234042553
WhitespaceRemoveNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer,83,94,0.8829787234042553
CurrencyRemoveNormalizer->AmountFormatNormalizer->DictionaryReplacementNormalizer,86,94,0.9148936170212766
CurrencyRemoveNormalizer->DictionaryReplacementNormalizer->AmountFormatNormalizer,87,94,0.925531914893617
AmountFormatNormalizer->CurrencyRemoveNormalizer->DictionaryReplacementNormalizer,86,94,0.9148936170212766
AmountFormatNormalizer->DictionaryReplacementNormalizer->CurrencyRemoveNormalizer,86,94,0.9148936170212766
DictionaryReplacementNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer,87,94,0.925531914893617
DictionaryReplacementNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer,87,94,0.925531914893617
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer,32,94,0.3404255319148936
CurrencyRemoveNormalizer->DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer,33,94,0.35106382978723405
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->DictionaryReplacementNormalizer,32,94,0.3404255319148936
DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer->CurrencyRemoveNormalizer,32,94,0.3404255319148936
