SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.954778,1.0,1,53,1
0.950056,1.0,7,53,7
0.948685,1.0,8,53,8
0.943818,1.0,9,53,9
0.942948,1.0,13,53,13
0.941306,1.0,19,53,19
0.940677,1.0,24,53,24
0.911534,1.0,25,53,25
0.892857,1.0,31,53,31
0.889499,1.0,32,53,32
0.872453,1.0,33,53,33
0.860597,1.0,34,53,34
0.810682,1.0,35,53,35
0.79574,1.0,36,53,36
0.746557,1.0,37,53,37
0.738756,1.0,38,53,38
0.7165,1.0,39,53,39
0.691578,1.0,40,53,40
0.685979,1.0,41,53,41
0.629272,0.9761904761904762,42,53,41
0.623588,0.9767441860465116,43,53,42
0.604979,0.9545454545454546,44,53,42
0.547806,0.9555555555555556,45,53,43
0.0,0.9555555555555556,45,53,43
