SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.837025,1.0,1,85,1
0.827758,1.0,2,85,2
0.815306,1.0,3,85,3
0.807684,1.0,4,85,4
0.790581,1.0,5,85,5
0.783428,1.0,6,85,6
0.77728,1.0,7,85,7
0.776717,1.0,8,85,8
0.77446,1.0,9,85,9
0.772649,1.0,10,85,10
0.771546,1.0,11,85,11
0.771175,1.0,12,85,12
0.769615,1.0,13,85,13
0.769001,1.0,14,85,14
0.760216,1.0,15,85,15
0.756008,1.0,16,85,16
0.755165,1.0,17,85,17
0.754486,0.9444444444444444,18,85,17
0.750605,0.9473684210526315,19,85,18
0.750489,0.95,20,85,19
0.750469,0.9523809523809523,21,85,20
0.749051,0.9545454545454546,22,85,21
0.746824,0.9565217391304348,23,85,22
0.746718,0.9583333333333334,24,85,23
0.745826,0.96,25,85,24
0.745803,0.9615384615384616,26,85,25
0.744666,0.9629629629629629,27,85,26
0.743863,0.9642857142857143,28,85,27
0.743371,0.9655172413793104,29,85,28
0.743267,0.9666666666666667,30,85,29
0.743219,0.967741935483871,31,85,30
0.743065,0.96875,32,85,31
0.742891,0.9696969696969697,33,85,32
0.74283,0.9705882352941176,34,85,33
0.742822,0.9714285714285714,35,85,34
0.741188,0.9722222222222222,36,85,35
0.740969,0.972972972972973,37,85,36
0.740301,0.9736842105263158,38,85,37
0.740059,0.9743589743589743,39,85,38
0.739276,0.975,40,85,39
0.736861,0.975609756097561,41,85,40
0.736613,0.9761904761904762,42,85,41
0.734911,0.9767441860465116,43,85,42
0.734329,0.9772727272727273,44,85,43
0.732362,0.9777777777777777,45,85,44
0.730646,0.9782608695652174,46,85,45
0.727948,0.9787234042553191,47,85,46
0.727225,0.9791666666666666,48,85,47
0.725662,0.9795918367346939,49,85,48
0.723662,0.98,50,85,49
0.720991,0.9803921568627451,51,85,50
0.718918,0.9807692307692307,52,85,51
0.701209,0.9811320754716981,53,85,52
0.700136,0.9814814814814815,54,85,53
0.691237,0.9636363636363636,55,85,53
0.686508,0.9642857142857143,56,85,54
0.683515,0.9649122807017544,57,85,55
0.678468,0.9655172413793104,58,85,56
0.664673,0.9661016949152542,59,85,57
0.66429,0.9666666666666667,60,85,58
0.662524,0.9672131147540983,61,85,59
0.647931,0.967741935483871,62,85,60
0.642398,0.9682539682539683,63,85,61
0.64019,0.953125,64,85,61
0.639305,0.9538461538461539,65,85,62
0.632339,0.9545454545454546,66,85,63
0.621482,0.9552238805970149,67,85,64
0.620583,0.9558823529411765,68,85,65
0.606567,0.9565217391304348,69,85,66
0.596359,0.9571428571428572,70,85,67
0.584107,0.9577464788732394,71,85,68
0.57907,0.9444444444444444,72,85,68
0.564629,0.9452054794520548,73,85,69
0.5449,0.9459459459459459,74,85,70
0.511196,0.9333333333333333,75,85,70
0.504571,0.9342105263157895,76,85,71
0.403665,0.935064935064935,77,85,72
0.0,0.935064935064935,77,85,72
