SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.968194,1.0,1,356,1
0.960171,1.0,2,356,2
0.949109,1.0,3,356,3
0.944246,1.0,4,356,4
0.94392,1.0,5,356,5
0.943289,1.0,6,356,6
0.941749,1.0,7,356,7
0.939982,1.0,8,356,8
0.939939,1.0,9,356,9
0.935716,1.0,10,356,10
0.93402,1.0,14,356,14
0.933844,1.0,15,356,15
0.933724,1.0,17,356,17
0.931192,1.0,20,356,20
0.930797,1.0,23,356,23
0.93049,1.0,24,356,24
0.928852,1.0,25,356,25
0.928468,1.0,26,356,26
0.927822,1.0,28,356,28
0.927413,1.0,31,356,31
0.926862,1.0,32,356,32
0.926697,1.0,33,356,33
0.92375,1.0,47,356,47
0.923521,1.0,48,356,48
0.922551,1.0,50,356,50
0.922468,1.0,51,356,51
0.92145,1.0,53,356,53
0.921247,1.0,76,356,76
0.920867,1.0,92,356,92
0.919351,1.0,95,356,95
0.919316,1.0,96,356,96
0.918089,1.0,98,356,98
0.917779,1.0,101,356,101
0.917609,1.0,102,356,102
0.917575,1.0,105,356,105
0.917332,1.0,106,356,106
0.916845,1.0,107,356,107
0.916288,1.0,108,356,108
0.91596,1.0,110,356,110
0.915352,1.0,126,356,126
0.91306,1.0,131,356,131
0.912793,1.0,132,356,132
0.911281,1.0,134,356,134
0.911171,1.0,135,356,135
0.909839,1.0,136,356,136
0.90808,1.0,137,356,137
0.907402,1.0,138,356,138
0.906112,0.9929078014184397,141,356,140
0.90463,0.9929577464788732,142,356,141
0.904049,0.993006993006993,143,356,142
0.903558,0.993103448275862,145,356,144
0.902903,0.9931972789115646,147,356,146
0.90106,0.9933774834437086,151,356,150
0.898682,0.993421052631579,152,356,151
0.897564,0.9934640522875817,153,356,152
0.896838,0.9935483870967742,155,356,154
0.893674,0.9935897435897436,156,356,155
0.886972,0.9936305732484076,157,356,156
0.885781,0.9936708860759493,158,356,157
0.885588,0.9937106918238994,159,356,158
0.882686,0.9937888198757764,161,356,160
0.880867,0.9938271604938271,162,356,161
0.879489,0.9938650306748467,163,356,162
0.878718,0.9939759036144579,166,356,165
0.877902,0.9940476190476191,168,356,167
0.875923,0.9940828402366864,169,356,168
0.868857,0.9882352941176471,170,356,168
0.867323,0.9883040935672515,171,356,169
0.865176,0.9883720930232558,172,356,170
0.863746,0.9884393063583815,173,356,171
0.863346,0.9885057471264368,174,356,172
0.863076,0.9885714285714285,175,356,173
0.860813,0.9886363636363636,176,356,174
0.85974,0.9887005649717514,177,356,175
0.852466,0.9887640449438202,178,356,176
0.848406,0.9888268156424581,179,356,177
0.846837,0.98989898989899,198,356,196
0.842871,0.9899497487437185,199,356,197
0.842344,0.99,200,356,198
0.841795,0.9901477832512315,203,356,201
0.837483,0.9852941176470589,204,356,201
0.831844,0.9853658536585366,205,356,202
0.828974,0.9855072463768116,207,356,204
0.827862,0.9855769230769231,208,356,205
0.825611,0.9856459330143541,209,356,206
0.823182,0.9857142857142858,210,356,207
0.822742,0.985781990521327,211,356,208
0.820027,0.9858490566037735,212,356,209
0.816428,0.9859154929577465,213,356,210
0.815609,0.985981308411215,214,356,211
0.814425,0.986046511627907,215,356,212
0.813103,0.9861751152073732,217,356,214
0.809046,0.9862385321100917,218,356,215
0.808398,0.9863013698630136,219,356,216
0.808274,0.9863636363636363,220,356,217
0.806253,0.9864253393665159,221,356,218
0.805121,0.9864864864864865,222,356,219
0.80239,0.9865470852017937,223,356,220
0.797089,0.9866071428571429,224,356,221
0.793576,0.9866666666666667,225,356,222
0.792181,0.9867256637168141,226,356,223
0.790409,0.9870689655172413,232,356,229
0.789023,0.9871244635193133,233,356,230
0.780983,0.9871794871794872,234,356,231
0.780208,0.9872340425531915,235,356,232
0.778777,0.9872881355932204,236,356,233
0.778521,0.9873417721518988,237,356,234
0.778299,0.9873949579831933,238,356,235
0.778054,0.9874476987447699,239,356,236
0.776125,0.9875,240,356,237
0.775694,0.9875518672199171,241,356,238
0.774082,0.987603305785124,242,356,239
0.771616,0.9876543209876543,243,356,240
0.767213,0.9877049180327869,244,356,241
0.764743,0.9877551020408163,245,356,242
0.759728,0.9878048780487805,246,356,243
0.759109,0.9878542510121457,247,356,244
0.757817,0.9879032258064516,248,356,245
0.756998,0.9879518072289156,249,356,246
0.756125,0.9880478087649402,251,356,248
0.753554,0.9880952380952381,252,356,249
0.744306,0.9881422924901185,253,356,250
0.743595,0.9881889763779528,254,356,251
0.741189,0.9882352941176471,255,356,252
0.734949,0.98828125,256,356,253
0.73472,0.9883268482490273,257,356,254
0.733828,0.9883720930232558,258,356,255
0.732512,0.9845559845559846,259,356,255
0.730628,0.9846153846153847,260,356,256
0.728548,0.9846743295019157,261,356,257
0.722544,0.9847328244274809,262,356,258
0.719678,0.9847908745247148,263,356,259
0.71589,0.9848484848484849,264,356,260
0.703702,0.9849056603773585,265,356,261
0.702312,0.9849624060150376,266,356,262
0.699899,0.9850187265917603,267,356,263
0.696861,0.9850746268656716,268,356,264
0.693713,0.9851301115241635,269,356,265
0.690221,0.9851851851851852,270,356,266
0.688319,0.981549815498155,271,356,266
0.683621,0.9816176470588235,272,356,267
0.683299,0.9816849816849816,273,356,268
0.682892,0.9817518248175182,274,356,269
0.679808,0.9818181818181818,275,356,270
0.675494,0.9782608695652174,276,356,270
0.671161,0.9783393501805054,277,356,271
0.662738,0.9748201438848921,278,356,271
0.662426,0.974910394265233,279,356,272
0.65972,0.975,280,356,273
0.65403,0.9715302491103203,281,356,273
0.652883,0.9680851063829787,282,356,273
0.646246,0.9681978798586572,283,356,274
