SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.879157,1.0,1,359,1
0.875437,1.0,2,359,2
0.871173,1.0,3,359,3
0.865652,1.0,4,359,4
0.864198,1.0,5,359,5
0.863625,1.0,6,359,6
0.86346,1.0,7,359,7
0.8628,1.0,8,359,8
0.859252,1.0,9,359,9
0.857471,1.0,10,359,10
0.855706,1.0,11,359,11
0.854645,1.0,12,359,12
0.853418,1.0,13,359,13
0.852786,1.0,14,359,14
0.852179,0.9333333333333333,15,359,14
0.846955,0.9375,16,359,15
0.846714,0.9411764705882353,17,359,16
0.845668,0.9444444444444444,18,359,17
0.84495,0.9473684210526315,19,359,18
0.842881,0.95,20,359,19
0.842184,0.9523809523809523,21,359,20
0.84192,0.9545454545454546,22,359,21
0.84078,0.9565217391304348,23,359,22
0.840352,0.9583333333333334,24,359,23
0.839761,0.96,25,359,24
0.839495,0.9615384615384616,26,359,25
0.839114,0.9629629629629629,27,359,26
0.836595,0.9642857142857143,28,359,27
0.834753,0.9655172413793104,29,359,28
0.834725,0.9666666666666667,30,359,29
0.833145,0.967741935483871,31,359,30
0.83302,0.9375,32,359,30
0.832303,0.9393939393939394,33,359,31
0.832145,0.9411764705882353,34,359,32
0.831278,0.9428571428571428,35,359,33
0.83003,0.9444444444444444,36,359,34
0.829756,0.9459459459459459,37,359,35
0.829672,0.9473684210526315,38,359,36
0.829587,0.9487179487179487,39,359,37
0.829573,0.95,40,359,38
0.829231,0.9512195121951219,41,359,39
0.829098,0.9523809523809523,42,359,40
0.828437,0.9534883720930233,43,359,41
0.82829,0.9545454545454546,44,359,42
0.826847,0.9555555555555556,45,359,43
0.826391,0.9565217391304348,46,359,44
0.825861,0.9574468085106383,47,359,45
0.825588,0.9583333333333334,48,359,46
0.825551,0.9591836734693877,49,359,47
0.825183,0.96,50,359,48
0.82468,0.9607843137254902,51,359,49
0.824662,0.9615384615384616,52,359,50
0.824061,0.9622641509433962,53,359,51
0.823666,0.9629629629629629,54,359,52
0.823614,0.9636363636363636,55,359,53
0.823509,0.9642857142857143,56,359,54
0.823352,0.9649122807017544,57,359,55
0.822648,0.9655172413793104,58,359,56
0.822381,0.9661016949152542,59,359,57
0.822316,0.9666666666666667,60,359,58
0.822197,0.9672131147540983,61,359,59
0.821514,0.967741935483871,62,359,60
0.821158,0.9682539682539683,63,359,61
0.821011,0.96875,64,359,62
0.819622,0.9692307692307692,65,359,63
0.818402,0.9696969696969697,66,359,64
0.817923,0.9701492537313433,67,359,65
0.817597,0.9558823529411765,68,359,65
0.817265,0.9565217391304348,69,359,66
0.817159,0.9571428571428572,70,359,67
0.817057,0.9577464788732394,71,359,68
0.816811,0.9583333333333334,72,359,69
0.816269,0.958904109589041,73,359,70
0.815936,0.9594594594594594,74,359,71
0.815878,0.96,75,359,72
0.81563,0.9605263157894737,76,359,73
0.815346,0.961038961038961,77,359,74
0.815287,0.9615384615384616,78,359,75
0.815039,0.9620253164556962,79,359,76
0.814786,0.9625,80,359,77
0.814778,0.9629629629629629,81,359,78
0.813382,0.9634146341463414,82,359,79
0.813321,0.963855421686747,83,359,80
0.812877,0.9642857142857143,84,359,81
0.811389,0.9647058823529412,85,359,82
0.810303,0.9651162790697675,86,359,83
0.810296,0.9655172413793104,87,359,84
0.810058,0.9659090909090909,88,359,85
0.809105,0.9662921348314607,89,359,86
0.809073,0.9666666666666667,90,359,87
0.80901,0.967032967032967,91,359,88
0.808936,0.967391304347826,92,359,89
0.80873,0.967741935483871,93,359,90
0.808338,0.9680851063829787,94,359,91
0.807989,0.968421052631579,95,359,92
0.807962,0.96875,96,359,93
0.80683,0.9690721649484536,97,359,94
0.806703,0.9693877551020408,98,359,95
0.806181,0.9696969696969697,99,359,96
0.806116,0.97,100,359,97
0.806063,0.9702970297029703,101,359,98
0.804782,0.9705882352941176,102,359,99
0.804522,0.970873786407767,103,359,100
0.804455,0.9711538461538461,104,359,101
0.804452,0.9714285714285714,105,359,102
0.803849,0.9716981132075472,106,359,103
0.803173,0.9719626168224299,107,359,104
0.802548,0.9722222222222222,108,359,105
0.802495,0.9724770642201835,109,359,106
0.802304,0.9727272727272728,110,359,107
0.801975,0.972972972972973,111,359,108
0.799994,0.9732142857142857,112,359,109
0.799915,0.9734513274336283,113,359,110
0.799569,0.9736842105263158,114,359,111
0.799218,0.9739130434782609,115,359,112
0.798875,0.9741379310344828,116,359,113
0.798246,0.9743589743589743,117,359,114
0.797971,0.9745762711864406,118,359,115
0.797804,0.9747899159663865,119,359,116
0.797087,0.975,120,359,117
0.797041,0.9752066115702479,121,359,118
0.79658,0.9754098360655737,122,359,119
0.796476,0.975609756097561,123,359,120
0.795625,0.9758064516129032,124,359,121
0.795337,0.976,125,359,122
0.794924,0.9761904761904762,126,359,123
0.794618,0.9763779527559056,127,359,124
0.79247,0.9765625,128,359,125
0.791442,0.9767441860465116,129,359,126
0.791297,0.9769230769230769,130,359,127
0.791099,0.9770992366412213,131,359,128
0.791067,0.9772727272727273,132,359,129
0.790549,0.9774436090225563,133,359,130
0.790534,0.9776119402985075,134,359,131
0.790479,0.9777777777777777,135,359,132
0.790426,0.9779411764705882,136,359,133
0.789827,0.9781021897810219,137,359,134
0.789493,0.9782608695652174,138,359,135
0.789349,0.9784172661870504,139,359,136
0.789212,0.9785714285714285,140,359,137
0.788344,0.9787234042553191,141,359,138
0.788274,0.9788732394366197,142,359,139
0.788188,0.9790209790209791,143,359,140
0.788062,0.9791666666666666,144,359,141
0.787677,0.9793103448275862,145,359,142
0.787619,0.9794520547945206,146,359,143
0.786662,0.9795918367346939,147,359,144
0.786502,0.9797297297297297,148,359,145
0.786383,0.9798657718120806,149,359,146
0.786246,0.98,150,359,147
0.786002,0.9801324503311258,151,359,148
0.785893,0.9802631578947368,152,359,149
0.785519,0.9738562091503268,153,359,149
0.785199,0.974025974025974,154,359,150
0.785186,0.9741935483870968,155,359,151
0.784863,0.9743589743589743,156,359,152
0.784064,0.9745222929936306,157,359,153
0.783096,0.9746835443037974,158,359,154
0.781834,0.9748427672955975,159,359,155
0.781307,0.975,160,359,156
0.78056,0.9751552795031055,161,359,157
0.779262,0.9753086419753086,162,359,158
0.77906,0.9754601226993865,163,359,159
0.778555,0.975609756097561,164,359,160
0.778363,0.9757575757575757,165,359,161
0.777428,0.9759036144578314,166,359,162
0.777316,0.9760479041916168,167,359,163
0.776453,0.9761904761904762,168,359,164
0.773612,0.9763313609467456,169,359,165
0.772531,0.9764705882352941,170,359,166
0.772208,0.9766081871345029,171,359,167
0.771918,0.9767441860465116,172,359,168
0.771516,0.976878612716763,173,359,169
0.771444,0.9770114942528736,174,359,170
0.771148,0.9771428571428571,175,359,171
0.770922,0.9772727272727273,176,359,172
0.770891,0.9774011299435028,177,359,173
0.770614,0.9775280898876404,178,359,174
0.770405,0.9776536312849162,179,359,175
0.769129,0.9777777777777777,180,359,176
0.769075,0.9779005524861878,181,359,177
0.769027,0.978021978021978,182,359,178
0.767476,0.9781420765027322,183,359,179
0.767371,0.9782608695652174,184,359,180
0.766933,0.9783783783783784,185,359,181
0.766165,0.978494623655914,186,359,182
0.765398,0.9786096256684492,187,359,183
0.76485,0.9787234042553191,188,359,184
0.764281,0.9788359788359788,189,359,185
0.763468,0.9736842105263158,190,359,185
0.763439,0.9738219895287958,191,359,186
0.762766,0.9739583333333334,192,359,187
0.761586,0.9740932642487047,193,359,188
0.759388,0.9742268041237113,194,359,189
0.758081,0.9743589743589743,195,359,190
0.756503,0.9744897959183674,196,359,191
0.755665,0.9746192893401016,197,359,192
0.755644,0.9747474747474747,198,359,193
0.754934,0.9748743718592965,199,359,194
0.753967,0.975,200,359,195
0.753301,0.9751243781094527,201,359,196
0.752662,0.9752475247524752,202,359,197
0.752194,0.9753694581280788,203,359,198
0.751228,0.9705882352941176,204,359,198
0.750341,0.9707317073170731,205,359,199
0.749625,0.970873786407767,206,359,200
0.749083,0.9710144927536232,207,359,201
0.748423,0.9711538461538461,208,359,202
0.744783,0.9712918660287081,209,359,203
0.740816,0.9714285714285714,210,359,204
0.738276,0.9715639810426541,211,359,205
0.737602,0.9716981132075472,212,359,206
0.737013,0.971830985915493,213,359,207
0.735541,0.9719626168224299,214,359,208
0.732614,0.9720930232558139,215,359,209
0.730741,0.9722222222222222,216,359,210
0.73069,0.9723502304147466,217,359,211
0.729687,0.9724770642201835,218,359,212
0.727216,0.9680365296803652,219,359,212
0.722575,0.9681818181818181,220,359,213
0.716335,0.9638009049773756,221,359,213
0.713214,0.963963963963964,222,359,214
0.713084,0.9641255605381166,223,359,215
0.712619,0.9642857142857143,224,359,216
0.709652,0.96,225,359,216
0.707893,0.9601769911504425,226,359,217
0.707542,0.960352422907489,227,359,218
0.706161,0.9605263157894737,228,359,219
0.704565,0.9606986899563319,229,359,220
0.70381,0.9608695652173913,230,359,221
0.700373,0.961038961038961,231,359,222
0.694646,0.9612068965517241,232,359,223
0.69406,0.9613733905579399,233,359,224
0.69225,0.9615384615384616,234,359,225
0.689212,0.9617021276595744,235,359,226
0.678802,0.961864406779661,236,359,227
0.678302,0.9620253164556962,237,359,228
0.677204,0.9621848739495799,238,359,229
0.673375,0.9623430962343096,239,359,230
0.670464,0.9625,240,359,231
0.669209,0.9626556016597511,241,359,232
0.667806,0.9628099173553719,242,359,233
0.667515,0.9629629629629629,243,359,234
0.664158,0.9590163934426229,244,359,234
0.661749,0.9551020408163265,245,359,234
0.661013,0.9552845528455285,246,359,235
0.655575,0.9554655870445344,247,359,236
0.647666,0.9556451612903226,248,359,237
0.647421,0.9558232931726908,249,359,238
0.646455,0.956,250,359,239
0.636845,0.9561752988047809,251,359,240
0.636428,0.9563492063492064,252,359,241
0.633068,0.9565217391304348,253,359,242
0.631676,0.9566929133858267,254,359,243
0.62941,0.9568627450980393,255,359,244
0.629308,0.953125,256,359,244
0.624277,0.953307392996109,257,359,245
0.621942,0.9534883720930233,258,359,246
0.621168,0.9536679536679536,259,359,247
0.614097,0.9538461538461539,260,359,248
0.613145,0.9540229885057471,261,359,249
0.608546,0.9541984732824428,262,359,250
