SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.982975,1.0,1,328,1
0.972552,1.0,2,328,2
0.953892,1.0,3,328,3
0.952927,1.0,4,328,4
0.952588,1.0,5,328,5
0.947925,1.0,6,328,6
0.947684,1.0,7,328,7
0.945025,1.0,8,328,8
0.94423,1.0,9,328,9
0.944198,1.0,10,328,10
0.943065,1.0,11,328,11
0.940208,1.0,12,328,12
0.939668,1.0,13,328,13
0.939616,1.0,14,328,14
0.938159,1.0,15,328,15
0.936181,1.0,16,328,16
0.935721,1.0,17,328,17
0.933973,1.0,18,328,18
0.931432,1.0,19,328,19
0.924509,1.0,20,328,20
0.919906,1.0,21,328,21
0.919622,1.0,22,328,22
0.918127,1.0,23,328,23
0.917358,1.0,24,328,24
0.916385,1.0,25,328,25
0.914302,1.0,26,328,26
0.912775,1.0,27,328,27
0.912291,1.0,28,328,28
0.912139,1.0,29,328,29
0.911648,1.0,30,328,30
0.911563,1.0,31,328,31
0.910231,1.0,32,328,32
0.910059,1.0,33,328,33
0.909257,1.0,34,328,34
0.908717,1.0,35,328,35
0.906998,1.0,36,328,36
0.906965,1.0,37,328,37
0.906834,1.0,38,328,38
0.906313,1.0,39,328,39
0.906261,1.0,40,328,40
0.902707,1.0,41,328,41
0.901751,1.0,42,328,42
0.901061,1.0,43,328,43
0.900074,1.0,44,328,44
0.899856,1.0,45,328,45
0.899579,1.0,46,328,46
0.899254,1.0,47,328,47
0.898999,1.0,48,328,48
0.898649,1.0,49,328,49
0.898233,1.0,50,328,50
0.897987,1.0,51,328,51
0.897905,1.0,52,328,52
0.89785,1.0,53,328,53
0.89765,1.0,54,328,54
0.896952,1.0,55,328,55
0.896407,1.0,56,328,56
0.895282,1.0,57,328,57
0.891358,1.0,58,328,58
0.890706,1.0,59,328,59
0.890604,1.0,60,328,60
0.889652,1.0,61,328,61
0.889493,1.0,62,328,62
0.889227,1.0,63,328,63
0.888366,1.0,64,328,64
0.88772,1.0,65,328,65
0.88702,1.0,66,328,66
0.886198,1.0,67,328,67
0.885057,1.0,68,328,68
0.884777,1.0,69,328,69
0.882411,1.0,70,328,70
0.882372,1.0,71,328,71
0.881402,1.0,72,328,72
0.880806,1.0,73,328,73
0.880529,1.0,74,328,74
0.880426,1.0,75,328,75
0.880251,1.0,76,328,76
0.880215,1.0,77,328,77
0.878784,1.0,78,328,78
0.878225,1.0,79,328,79
0.875486,1.0,80,328,80
0.875098,1.0,81,328,81
0.873871,1.0,82,328,82
0.873749,1.0,83,328,83
0.873708,1.0,84,328,84
0.87356,1.0,85,328,85
0.872832,1.0,86,328,86
0.871499,1.0,87,328,87
0.871339,1.0,88,328,88
0.870354,1.0,89,328,89
0.869528,1.0,90,328,90
0.868844,1.0,91,328,91
0.868729,1.0,92,328,92
0.868166,1.0,93,328,93
0.867188,1.0,94,328,94
0.865615,1.0,95,328,95
0.86523,1.0,96,328,96
0.864688,1.0,97,328,97
0.863041,1.0,98,328,98
0.862451,1.0,99,328,99
0.861866,1.0,100,328,100
0.861208,1.0,101,328,101
0.859857,1.0,102,328,102
0.859504,1.0,103,328,103
0.858429,1.0,104,328,104
0.856071,1.0,105,328,105
0.855327,1.0,106,328,106
