SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.963924,1.0,1,94,1
0.96312,1.0,2,94,2
0.911307,1.0,3,94,3
0.906496,1.0,4,94,4
0.904178,1.0,5,94,5
0.903035,0.8571428571428571,7,94,6
0.891771,0.9230769230769231,13,94,12
0.884583,0.9285714285714286,14,94,13
0.88454,0.9333333333333333,15,94,14
0.883517,0.9375,16,94,15
0.879154,0.9411764705882353,17,94,16
0.878555,0.9444444444444444,18,94,17
0.862835,0.9473684210526315,19,94,18
0.857003,0.95,20,94,19
0.846056,0.9523809523809523,21,94,20
0.825739,0.9545454545454546,22,94,21
0.822802,0.9565217391304348,23,94,22
0.82062,0.9583333333333334,24,94,23
0.817165,0.96,25,94,24
0.804039,0.9615384615384616,26,94,25
0.801908,0.9629629629629629,27,94,26
0.801758,0.9642857142857143,28,94,27
0.798914,0.9655172413793104,29,94,28
0.798856,0.9666666666666667,30,94,29
0.784227,0.967741935483871,31,94,30
0.783522,0.96875,32,94,31
0.780807,0.9696969696969697,33,94,32
0.753038,0.9705882352941176,34,94,33
0.738468,0.9736842105263158,38,94,37
0.735127,0.9743589743589743,39,94,38
0.730596,0.9772727272727273,44,94,43
0.730448,0.9791666666666666,48,94,47
0.728985,0.9814814814814815,54,94,53
0.713559,0.9818181818181818,55,94,54
0.708842,0.9821428571428571,56,94,55
0.701288,0.9824561403508771,57,94,56
0.690392,0.9827586206896551,58,94,57
0.675077,0.9830508474576272,59,94,58
0.663123,0.9833333333333333,60,94,59
0.650923,0.9672131147540983,61,94,59
0.643336,0.967741935483871,62,94,60
0.615819,0.9682539682539683,63,94,61
0.610088,0.96875,64,94,62
0.606752,0.9692307692307692,65,94,63
0.600265,0.9696969696969697,66,94,64
0.592544,0.9701492537313433,67,94,65
0.590141,0.9705882352941176,68,94,66
0.570761,0.9565217391304348,69,94,66
0.555813,0.9571428571428572,70,94,67
0.555157,0.9436619718309859,71,94,67
0.548029,0.9444444444444444,72,94,68
0.53848,0.9452054794520548,73,94,69
0.518902,0.9324324324324325,74,94,69
0.491607,0.9333333333333333,75,94,70
0.0,0.9333333333333333,75,94,70
