SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.954778,1.0,1,53,1
0.950056,1.0,7,53,7
0.948685,1.0,8,53,8
0.943818,1.0,9,53,9
0.942948,1.0,13,53,13
0.941306,1.0,19,53,19
0.940677,1.0,24,53,24
0.911534,1.0,25,53,25
0.892857,1.0,31,53,31
0.889499,1.0,32,53,32
0.872453,1.0,33,53,33
0.860597,1.0,34,53,34
0.810682,1.0,35,53,35
0.79574,1.0,36,53,36
0.749481,0.972972972972973,37,53,36
0.746557,0.9736842105263158,38,53,37
0.738756,0.9743589743589743,39,53,38
0.7165,0.975,40,53,39
0.691578,0.975609756097561,41,53,40
0.685979,0.9761904761904762,42,53,41
0.629272,0.9534883720930233,43,53,41
0.623588,0.9545454545454546,44,53,42
0.604979,0.9333333333333333,45,53,42
0.547806,0.9347826086956522,46,53,43
0.489926,0.9148936170212766,47,53,43
0.0,0.9148936170212766,47,53,43
