SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.837025,1.0,1,85,1
0.827758,1.0,2,85,2
0.815306,0.6666666666666666,3,85,2
0.807684,0.5,4,85,2
0.790581,0.4,5,85,2
0.783428,0.3333333333333333,6,85,2
0.77728,0.2857142857142857,7,85,2
0.776717,0.25,8,85,2
0.77446,0.2222222222222222,9,85,2
0.772649,0.2,10,85,2
0.771546,0.18181818181818182,11,85,2
0.771175,0.16666666666666666,12,85,2
0.769615,0.23076923076923078,13,85,3
0.769001,0.21428571428571427,14,85,3
0.760216,0.2,15,85,3
0.756008,0.1875,16,85,3
0.755165,0.17647058823529413,17,85,3
0.754486,0.16666666666666666,18,85,3
0.750605,0.15789473684210525,19,85,3
0.750489,0.15,20,85,3
0.750469,0.14285714285714285,21,85,3
0.749051,0.13636363636363635,22,85,3
0.746824,0.13043478260869565,23,85,3
0.746718,0.125,24,85,3
0.745826,0.12,25,85,3
0.745803,0.11538461538461539,26,85,3
0.744666,0.1111111111111111,27,85,3
0.743863,0.10714285714285714,28,85,3
0.743371,0.10344827586206896,29,85,3
0.743267,0.1,30,85,3
0.743219,0.0967741935483871,31,85,3
0.743065,0.09375,32,85,3
0.742891,0.09090909090909091,33,85,3
0.74283,0.08823529411764706,34,85,3
0.742822,0.08571428571428572,35,85,3
0.741188,0.08333333333333333,36,85,3
0.740969,0.08108108108108109,37,85,3
0.740301,0.07894736842105263,38,85,3
0.740059,0.07692307692307693,39,85,3
0.739276,0.075,40,85,3
0.736861,0.07317073170731707,41,85,3
0.736613,0.07142857142857142,42,85,3
0.734911,0.06976744186046512,43,85,3
0.734329,0.06818181818181818,44,85,3
0.732362,0.06666666666666667,45,85,3
0.730646,0.06521739130434782,46,85,3
0.727948,0.06382978723404255,47,85,3
0.727225,0.0625,48,85,3
0.725662,0.061224489795918366,49,85,3
0.723863,0.06,50,85,3
0.723662,0.0784313725490196,51,85,4
0.720991,0.07692307692307693,52,85,4
0.718918,0.07547169811320754,53,85,4
0.701209,0.07407407407407407,54,85,4
0.700136,0.07272727272727272,55,85,4
0.691237,0.07142857142857142,56,85,4
0.686508,0.07017543859649122,57,85,4
0.684952,0.06896551724137931,58,85,4
0.683515,0.06779661016949153,59,85,4
0.678468,0.06666666666666667,60,85,4
0.667776,0.06557377049180328,61,85,4
0.664673,0.06451612903225806,62,85,4
0.66429,0.06349206349206349,63,85,4
0.662524,0.0625,64,85,4
0.647931,0.06153846153846154,65,85,4
0.642398,0.06060606060606061,66,85,4
0.64019,0.05970149253731343,67,85,4
0.639305,0.058823529411764705,68,85,4
0.632339,0.057971014492753624,69,85,4
0.621482,0.07142857142857142,70,85,5
0.620583,0.07042253521126761,71,85,5
0.613735,0.06944444444444445,72,85,5
0.606567,0.0821917808219178,73,85,6
0.596359,0.08108108108108109,74,85,6
0.584107,0.08,75,85,6
0.57907,0.07894736842105263,76,85,6
0.564629,0.07792207792207792,77,85,6
0.5449,0.08974358974358974,78,85,7
0.543138,0.08860759493670886,79,85,7
0.511196,0.0875,80,85,7
0.504571,0.08641975308641975,81,85,7
0.403665,0.08536585365853659,82,85,7
0.0,0.08536585365853659,82,85,7
