SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.932557,1.0,1,93,1
0.925976,1.0,2,93,2
0.923434,1.0,3,93,3
0.923242,1.0,4,93,4
0.922108,1.0,5,93,5
0.919254,1.0,6,93,6
0.914312,1.0,7,93,7
0.895131,1.0,8,93,8
0.895005,1.0,9,93,9
0.877135,1.0,10,93,10
0.867727,1.0,11,93,11
0.867001,1.0,12,93,12
0.863782,1.0,13,93,13
0.860473,1.0,14,93,14
0.858592,1.0,15,93,15
0.856256,1.0,16,93,16
0.852886,1.0,17,93,17
0.852488,1.0,18,93,18
0.846301,1.0,19,93,19
0.841937,1.0,20,93,20
0.84056,1.0,21,93,21
0.83858,1.0,22,93,22
0.838498,1.0,23,93,23
0.838062,1.0,24,93,24
0.833252,1.0,25,93,25
0.827987,1.0,26,93,26
0.825742,0.9629629629629629,27,93,26
0.823972,0.9642857142857143,28,93,27
0.822657,0.9655172413793104,29,93,28
0.821336,0.9666666666666667,30,93,29
0.819149,0.967741935483871,31,93,30
0.818172,0.9375,32,93,30
0.816665,0.9393939393939394,33,93,31
0.808247,0.9411764705882353,34,93,32
0.807732,0.9428571428571428,35,93,33
0.804941,0.9444444444444444,36,93,34
0.798534,0.9459459459459459,37,93,35
0.795078,0.9473684210526315,38,93,36
0.792872,0.9487179487179487,39,93,37
0.790952,0.95,40,93,38
0.789612,0.9512195121951219,41,93,39
0.789254,0.9523809523809523,42,93,40
0.786739,0.9302325581395349,43,93,40
0.785579,0.9318181818181818,44,93,41
0.782005,0.9333333333333333,45,93,42
0.772005,0.9347826086956522,46,93,43
0.757536,0.9361702127659575,47,93,44
0.751113,0.9375,48,93,45
0.735939,0.9387755102040817,49,93,46
0.735294,0.94,50,93,47
0.733325,0.9411764705882353,51,93,48
0.718578,0.9423076923076923,52,93,49
0.708876,0.9433962264150944,53,93,50
0.707791,0.9444444444444444,54,93,51
0.695907,0.9454545454545454,55,93,52
0.694024,0.9464285714285714,56,93,53
0.671693,0.9473684210526315,57,93,54
0.660172,0.9482758620689655,58,93,55
0.65869,0.9491525423728814,59,93,56
0.658021,0.95,60,93,57
0.65696,0.9508196721311475,61,93,58
0.65674,0.9516129032258065,62,93,59
0.646041,0.9523809523809523,63,93,60
0.62677,0.9375,64,93,60
0.623721,0.9384615384615385,65,93,61
0.618994,0.9393939393939394,66,93,62
0.603018,0.9402985074626866,67,93,63
0.571506,0.9411764705882353,68,93,64
0.556116,0.9420289855072463,69,93,65
0.539418,0.9428571428571428,70,93,66
0.535662,0.9295774647887324,71,93,66
0.533057,0.9166666666666666,72,93,66
0.523434,0.9178082191780822,73,93,67
0.52153,0.918918918918919,74,93,68
0.521161,0.9066666666666666,75,93,68
0.505603,0.9078947368421053,76,93,69
0.0,0.9078947368421053,76,93,69
