SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.982975,0.0,1,328,0
0.972552,0.0,2,328,0
0.953892,0.0,3,328,0
0.952927,0.0,4,328,0
0.952588,0.0,5,328,0
0.947925,0.0,6,328,0
0.947684,0.0,7,328,0
0.945025,0.0,8,328,0
0.94423,0.0,9,328,0
0.944198,0.0,10,328,0
0.943065,0.0,11,328,0
0.940208,0.0,12,328,0
0.939668,0.0,13,328,0
0.939616,0.0,14,328,0
0.938159,0.0,15,328,0
0.936181,0.0,16,328,0
0.935721,0.0,17,328,0
0.933973,0.0,18,328,0
0.931432,0.0,19,328,0
0.924509,0.0,20,328,0
0.919906,0.0,21,328,0
0.919622,0.0,22,328,0
0.918127,0.0,23,328,0
0.917358,0.0,24,328,0
0.916385,0.0,25,328,0
0.914302,0.0,26,328,0
0.912775,0.0,27,328,0
0.912291,0.0,28,328,0
0.912139,0.0,29,328,0
0.911648,0.0,30,328,0
0.911563,0.0,31,328,0
0.910231,0.0,32,328,0
0.910059,0.0,33,328,0
0.909257,0.0,34,328,0
0.908717,0.0,35,328,0
0.906998,0.0,36,328,0
0.906965,0.0,37,328,0
0.906834,0.0,38,328,0
0.906313,0.0,39,328,0
0.906261,0.0,40,328,0
0.902707,0.0,41,328,0
0.901751,0.0,42,328,0
0.901061,0.0,43,328,0
0.900074,0.0,44,328,0
0.899856,0.0,45,328,0
0.899579,0.0,46,328,0
0.899254,0.0,47,328,0
0.898999,0.0,48,328,0
0.898649,0.0,49,328,0
0.898233,0.0,50,328,0
0.897987,0.0,51,328,0
0.897905,0.0,52,328,0
0.89785,0.0,53,328,0
0.89765,0.0,54,328,0
0.896952,0.0,55,328,0
0.896407,0.0,56,328,0
0.895282,0.0,57,328,0
0.891358,0.0,58,328,0
0.890706,0.0,59,328,0
0.890604,0.0,60,328,0
0.889652,0.0,61,328,0
0.889493,0.0,62,328,0
0.889227,0.0,63,328,0
0.888366,0.0,64,328,0
0.88772,0.0,65,328,0
0.88702,0.0,66,328,0
0.886198,0.0,67,328,0
0.885057,0.0,68,328,0
0.884777,0.0,69,328,0
0.882411,0.0,70,328,0
0.882372,0.0,71,328,0
0.881402,0.0,72,328,0
0.880806,0.0,73,328,0
0.880529,0.0,74,328,0
0.880426,0.0,75,328,0
0.880251,0.0,76,328,0
0.880215,0.0,77,328,0
0.878784,0.0,78,328,0
0.878225,0.0,79,328,0
0.875486,0.0,80,328,0
0.875098,0.0,81,328,0
0.873871,0.0,82,328,0
0.873749,0.0,83,328,0
0.873708,0.0,84,328,0
0.87356,0.0,85,328,0
0.872832,0.0,86,328,0
0.871499,0.0,87,328,0
0.871339,0.0,88,328,0
0.870354,0.0,89,328,0
0.869528,0.0,90,328,0
0.868844,0.0,91,328,0
0.868729,0.0,92,328,0
0.868166,0.0,93,328,0
0.867188,0.0,94,328,0
0.865615,0.0,95,328,0
0.86523,0.0,96,328,0
0.864688,0.0,97,328,0
0.863041,0.0,98,328,0
