SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.896537,0.0,1,89,0
0.849531,0.5,2,89,1
0.837431,0.6666666666666666,3,89,2
0.817847,0.75,4,89,3
0.811931,0.8,5,89,4
0.80454,0.8333333333333334,6,89,5
0.804286,0.8571428571428571,7,89,6
0.797397,0.875,8,89,7
0.796457,0.8888888888888888,9,89,8
0.791527,0.9,10,89,9
0.789763,0.9090909090909091,11,89,10
0.783816,0.9166666666666666,12,89,11
0.777378,0.9230769230769231,13,89,12
0.774738,0.9285714285714286,14,89,13
0.7707,0.9333333333333333,15,89,14
0.769797,0.9375,16,89,15
0.765769,0.9411764705882353,17,89,16
0.763867,0.9444444444444444,18,89,17
0.763748,0.9473684210526315,19,89,18
0.762245,0.95,20,89,19
0.761771,0.9523809523809523,21,89,20
0.76057,0.9545454545454546,22,89,21
0.760134,0.9565217391304348,23,89,22
0.759336,0.9583333333333334,24,89,23
0.759261,0.96,25,89,24
0.757578,0.9615384615384616,26,89,25
0.756737,0.9629629629629629,27,89,26
0.75478,0.9642857142857143,28,89,27
0.754037,0.9655172413793104,29,89,28
0.753742,0.9666666666666667,30,89,29
0.752544,0.967741935483871,31,89,30
0.748377,0.96875,32,89,31
0.747874,0.9696969696969697,33,89,32
0.744224,0.9705882352941176,34,89,33
0.74283,0.9714285714285714,35,89,34
0.733968,0.9722222222222222,36,89,35
0.733702,0.972972972972973,37,89,36
0.727597,0.9736842105263158,38,89,37
0.72336,0.9743589743589743,39,89,38
0.72044,0.975,40,89,39
0.716949,0.975609756097561,41,89,40
0.716808,0.9761904761904762,42,89,41
0.716417,0.9767441860465116,43,89,42
0.714694,0.9772727272727273,44,89,43
0.711184,0.9777777777777777,45,89,44
0.706742,0.9782608695652174,46,89,45
0.705284,0.9574468085106383,47,89,45
0.695276,0.9375,48,89,45
0.694998,0.9387755102040817,49,89,46
0.684484,0.94,50,89,47
0.682185,0.9411764705882353,51,89,48
0.675866,0.9230769230769231,52,89,48
0.668153,0.9056603773584906,53,89,48
0.654522,0.9074074074074074,54,89,49
0.65314,0.9090909090909091,55,89,50
0.640915,0.9107142857142857,56,89,51
0.640017,0.9122807017543859,57,89,52
0.639868,0.896551724137931,58,89,52
0.626499,0.8983050847457628,59,89,53
0.62283,0.9,60,89,54
0.617938,0.8852459016393442,61,89,54
0.611115,0.8709677419354839,62,89,54
0.610491,0.873015873015873,63,89,55
0.585076,0.875,64,89,56
0.584379,0.8769230769230769,65,89,57
0.575775,0.8636363636363636,66,89,57
0.571281,0.8507462686567164,67,89,57
0.56571,0.8529411764705882,68,89,58
0.5492,0.855072463768116,69,89,59
0.541754,0.8428571428571429,70,89,59
0.5264,0.8450704225352113,71,89,60
0.52053,0.8472222222222222,72,89,61
0.500064,0.8356164383561644,73,89,61
0.478961,0.8378378378378378,74,89,62
0.43681,0.8266666666666667,75,89,62
0.372341,0.8289473684210527,76,89,63
0.301295,0.8181818181818182,77,89,63
0.0,0.8181818181818182,77,89,63
