SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.963924,1.0,1,94,1
0.96312,0.5,2,94,1
0.911307,0.3333333333333333,3,94,1
0.906496,0.25,4,94,1
0.904178,0.2,5,94,1
0.903035,0.14285714285714285,7,94,1
0.891771,0.07692307692307693,13,94,1
0.884583,0.14285714285714285,14,94,2
0.88454,0.13333333333333333,15,94,2
0.883517,0.125,16,94,2
0.879154,0.11764705882352941,17,94,2
0.878555,0.16666666666666666,18,94,3
0.862835,0.21052631578947367,19,94,4
0.857003,0.25,20,94,5
0.846056,0.2857142857142857,21,94,6
0.825739,0.3181818181818182,22,94,7
0.822802,0.30434782608695654,23,94,7
0.82062,0.2916666666666667,24,94,7
0.817165,0.28,25,94,7
0.804039,0.2692307692307692,26,94,7
0.801908,0.2962962962962963,27,94,8
0.801758,0.32142857142857145,28,94,9
0.798914,0.3103448275862069,29,94,9
0.798856,0.3,30,94,9
0.784227,0.3225806451612903,31,94,10
0.783522,0.3125,32,94,10
0.780807,0.30303030303030304,33,94,10
0.753038,0.29411764705882354,34,94,10
0.738468,0.2631578947368421,38,94,10
0.735127,0.2564102564102564,39,94,10
0.730596,0.22727272727272727,44,94,10
0.730448,0.20833333333333334,48,94,10
0.728985,0.18518518518518517,54,94,10
0.713559,0.2,55,94,11
0.708842,0.19642857142857142,56,94,11
0.701288,0.21052631578947367,57,94,12
0.690392,0.22413793103448276,58,94,13
0.675077,0.23728813559322035,59,94,14
0.663123,0.23333333333333334,60,94,14
0.650923,0.22950819672131148,61,94,14
0.643336,0.24193548387096775,62,94,15
0.615819,0.23809523809523808,63,94,15
0.610088,0.234375,64,94,15
0.606752,0.23076923076923078,65,94,15
0.604074,0.22727272727272727,66,94,15
0.600265,0.23880597014925373,67,94,16
0.592544,0.23529411764705882,68,94,16
0.590141,0.2318840579710145,69,94,16
0.570761,0.22857142857142856,70,94,16
0.555813,0.23943661971830985,71,94,17
0.555157,0.2361111111111111,72,94,17
0.548029,0.2465753424657534,73,94,18
0.53848,0.25675675675675674,74,94,19
0.518902,0.25333333333333335,75,94,19
0.491607,0.2631578947368421,76,94,20
0.0,0.2631578947368421,76,94,20
